task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,qasper,scierc,scifact,scifact,scifact,mean,median
metric,f1,f1,bleu,f1_exact,f1_overlap,f1_substring,f1,rouge1,f1_answer,f1_evidence,f1,f1_evidence_sent,f1_evidence_token,f1_label,null,null
dare_linear-llama_2_7b-tulu_all_0.5-science_2500_0.5,0.40678,0.59155,0.45183,0.00358,0.06440,0.05367,0.44622,0.29605,0.08398,0.11550,0.29079,0.39353,0.46635,0.68670,0.34794,0.39353
dare_linear-llama_2_7b-tulu_all_0.5-science_500_0.5,0.39827,0.64713,0.50772,0.00000,0.05340,0.03398,0.35977,0.27421,0.11640,0.09475,0.30720,0.38724,0.44498,0.63602,0.34383,0.35977
dare_linear-llama_2_7b-tulu_all_0.5-science_upsample_0.5,0.47986,0.63456,0.49017,0.00000,0.04377,0.03535,0.37188,0.28053,0.05681,0.10655,0.30219,0.35362,0.43640,0.66337,0.34394,0.35362
dare_linear-llama_2_7b-tulu_all_0.6-science_1000_0.4,0.45769,0.61591,0.48103,0.00310,0.05120,0.04344,0.35046,0.23806,0.05330,0.08291,0.30934,0.40089,0.46650,0.59144,0.33020,0.35046
dare_linear-llama_2_7b-tulu_all_0.6-science_100_0.4,0.37339,0.57555,0.47556,0.00136,0.07891,0.04218,0.31298,0.26344,0.05545,0.07537,0.25806,0.29259,0.39441,0.56818,0.30268,0.29259
dare_linear-llama_2_7b-tulu_all_0.6-science_200_0.4,0.42489,0.58277,0.45887,0.00164,0.07213,0.04262,0.37612,0.25064,0.06931,0.07585,0.29194,0.28132,0.37802,0.56631,0.31365,0.29194
dare_linear-llama_2_7b-tulu_all_0.6-science_2500_0.4,0.43714,0.59765,0.41229,0.00000,0.05828,0.04141,0.37710,0.30379,0.05806,0.08516,0.29392,0.38444,0.46270,0.67742,0.33502,0.37710
dare_linear-llama_2_7b-tulu_all_0.6-science_500_0.4,0.46275,0.62106,0.48771,0.00152,0.05758,0.03636,0.33346,0.27690,0.08475,0.09572,0.28995,0.37443,0.45301,0.64151,0.33871,0.33346
dare_linear-llama_2_7b-tulu_all_0.6-science_upsample_0.4,0.48864,0.61453,0.46871,0.00000,0.04296,0.02815,0.35411,0.30085,0.04917,0.10105,0.30000,0.37119,0.46310,0.66029,0.34104,0.35411
dare_linear-llama_2_7b-tulu_all_0.7-science_1000_0.3,0.45703,0.57779,0.42943,0.00145,0.06087,0.04493,0.33858,0.27921,0.04746,0.08165,0.28479,0.32589,0.43201,0.57959,0.31475,0.32589
dare_linear-llama_2_7b-tulu_all_0.7-science_100_0.3,0.41068,0.56165,0.45525,0.00137,0.06584,0.03704,0.31371,0.30378,0.04021,0.06717,0.28205,0.26991,0.37908,0.57261,0.30390,0.30378
dare_linear-llama_2_7b-tulu_all_0.7-science_200_0.3,0.41313,0.57543,0.44202,0.00150,0.06306,0.02102,0.34923,0.31569,0.04807,0.07074,0.25467,0.28899,0.39733,0.57565,0.30879,0.31569
dare_linear-llama_2_7b-tulu_all_0.7-science_2500_0.3,0.45996,0.56558,0.40936,0.00146,0.07007,0.03212,0.37475,0.31654,0.04732,0.06243,0.28875,0.34590,0.45802,0.60241,0.32210,0.34590
dare_linear-llama_2_7b-tulu_all_0.7-science_500_0.3,0.46245,0.58438,0.44724,0.00000,0.06978,0.03712,0.32104,0.32448,0.04971,0.08899,0.28125,0.30172,0.43039,0.59848,0.32087,0.32104
dare_linear-llama_2_7b-tulu_all_0.7-science_upsample_0.3,0.47407,0.57677,0.45161,0.00155,0.05108,0.02941,0.35094,0.30082,0.04245,0.07846,0.29533,0.30114,0.39811,0.63462,0.32339,0.30114
dare_linear-llama_2_7b-tulu_all_0.8-science_1000_0.2,0.43100,0.53119,0.41363,0.00000,0.05560,0.02617,0.32759,0.26749,0.04829,0.05273,0.30110,0.30568,0.44406,0.60000,0.30312,0.30568
dare_linear-llama_2_7b-tulu_all_0.8-science_100_0.2,0.45353,0.49177,0.39363,0.00000,0.03493,0.00699,0.31435,0.25040,0.03890,0.04533,0.27239,0.28753,0.39116,0.56000,0.28570,0.28753
dare_linear-llama_2_7b-tulu_all_0.8-science_200_0.2,0.40613,0.51439,0.38223,0.00000,0.04651,0.02326,0.31082,0.28623,0.04080,0.06172,0.25462,0.26336,0.39299,0.58015,0.28609,0.28623
dare_linear-llama_2_7b-tulu_all_0.8-science_2500_0.2,0.47348,0.50450,0.36380,0.00000,0.05807,0.02220,0.33240,0.27751,0.04289,0.05244,0.27879,0.30162,0.43303,0.59916,0.29861,0.30162
