task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,qasper,scierc,scifact,scifact,scifact,mean,median
metric,f1,f1,bleu,f1_exact,f1_overlap,f1_substring,f1,rouge1,f1_answer,f1_evidence,f1,f1_evidence_sent,f1_evidence_token,f1_label,null,null
linear_weighted-llama_2_7b-tulu_all_0.2-science_500_0.8,0.37069,0.62354,0.54700,0.00000,0.02760,0.02335,0.45468,0.26158,0.12000,0.16022,0.36522,0.41667,0.48085,0.62041,0.36069,0.37069
linear_weighted-llama_2_7b-tulu_all_0.2-science_upsample_0.8,0.36468,0.61485,0.53312,0.00000,0.02045,0.02955,0.43008,0.27284,0.10733,0.19783,0.32025,0.36086,0.44547,0.62944,0.35016,0.36086
linear_weighted-llama_2_7b-tulu_all_0.3-science_1000_0.7,0.37500,0.68978,0.53802,0.00000,0.02514,0.03200,0.51555,0.26797,0.05298,0.05129,0.33794,0.47642,0.50908,0.67511,0.36411,0.37500
linear_weighted-llama_2_7b-tulu_all_0.3-science_100_0.7,0.31746,0.58534,0.53526,0.00000,0.04521,0.02650,0.34047,0.11004,0.04789,0.00000,0.29588,0.30713,0.37055,0.55253,0.28520,0.30713
linear_weighted-llama_2_7b-tulu_all_0.3-science_200_0.7,0.34025,0.61137,0.56662,0.00000,0.00288,0.00288,0.46994,0.12704,0.10353,0.00000,0.33472,0.32950,0.40593,0.55944,0.31321,0.33472
linear_weighted-llama_2_7b-tulu_all_0.3-science_2500_0.7,0.33255,0.62568,0.51134,0.00000,0.02714,0.03132,0.52400,0.26489,0.03943,0.05829,0.32563,0.42659,0.49144,0.68837,0.34763,0.33255
linear_weighted-llama_2_7b-tulu_all_0.3-science_500_0.7,0.35269,0.62698,0.53703,0.00000,0.03607,0.03407,0.43125,0.26160,0.11897,0.04743,0.34385,0.40336,0.46939,0.64542,0.34588,0.35269
linear_weighted-llama_2_7b-tulu_all_0.3-science_upsample_0.7,0.38550,0.64210,0.53647,0.00000,0.02142,0.03116,0.42008,0.27191,0.08013,0.13216,0.29754,0.36420,0.43901,0.61538,0.34244,0.36420
linear_weighted-llama_2_7b-tulu_all_0.4-science_1000_0.6,0.37387,0.67972,0.53229,0.00000,0.03115,0.03531,0.49003,0.25949,0.05091,0.01109,0.31991,0.46118,0.50061,0.68313,0.35389,0.37387
linear_weighted-llama_2_7b-tulu_all_0.4-science_100_0.6,0.32328,0.58156,0.52794,0.00000,0.04110,0.03805,0.32963,0.11798,0.04604,0.00000,0.30185,0.31335,0.38334,0.55598,0.28534,0.31335
linear_weighted-llama_2_7b-tulu_all_0.4-science_200_0.6,0.33761,0.62910,0.54463,0.00000,0.03191,0.02340,0.44864,0.16055,0.08912,0.00000,0.31323,0.32432,0.39236,0.55439,0.31214,0.32432
linear_weighted-llama_2_7b-tulu_all_0.4-science_2500_0.6,0.37931,0.63114,0.49405,0.00000,0.03766,0.03964,0.50627,0.27696,0.04089,0.00241,0.31659,0.42319,0.48700,0.64220,0.34097,0.37931
linear_weighted-llama_2_7b-tulu_all_0.4-science_500_0.6,0.38055,0.62883,0.50332,0.00000,0.03721,0.02977,0.40668,0.25211,0.09524,0.00233,0.31992,0.39907,0.45537,0.64822,0.33395,0.38055
linear_weighted-llama_2_7b-tulu_all_0.4-science_upsample_0.6,0.38921,0.65640,0.52611,0.00000,0.03439,0.03095,0.41167,0.26893,0.04385,0.05692,0.32000,0.36585,0.42661,0.61458,0.33527,0.36585
linear_weighted-llama_2_7b-tulu_all_0.5-science_1000_0.5,0.37349,0.65667,0.51974,0.00000,0.05641,0.03932,0.42548,0.24293,0.04167,0.00000,0.32856,0.42353,0.47954,0.67470,0.34029,0.37349
linear_weighted-llama_2_7b-tulu_all_0.5-science_100_0.5,0.33409,0.59806,0.50316,0.00146,0.06437,0.03950,0.31824,0.13778,0.03370,0.00000,0.28541,0.31076,0.39667,0.55814,0.28579,0.31076
linear_weighted-llama_2_7b-tulu_all_0.5-science_200_0.5,0.38095,0.63037,0.51677,0.00000,0.04826,0.02896,0.39893,0.20450,0.05353,0.00000,0.30143,0.28696,0.37751,0.54676,0.30622,0.30143
linear_weighted-llama_2_7b-tulu_all_0.5-science_2500_0.5,0.39746,0.62204,0.45423,0.00000,0.05092,0.04214,0.45596,0.28619,0.04352,0.00000,0.29703,0.36517,0.44780,0.65766,0.33002,0.36517
linear_weighted-llama_2_7b-tulu_all_0.5-science_500_0.5,0.36481,0.64987,0.48998,0.00000,0.03209,0.03209,0.36937,0.23740,0.07403,0.00000,0.32505,0.40093,0.45625,0.64093,0.32586,0.36481
linear_weighted-llama_2_7b-tulu_all_0.5-science_upsample_0.5,0.38632,0.65479,0.50901,0.00000,0.04252,0.02944,0.38687,0.26990,0.01995,0.00950,0.30058,0.35224,0.41928,0.59686,0.32078,0.35224
linear_weighted-llama_2_7b-tulu_all_0.6-science_1000_0.4,0.36559,0.61385,0.48375,0.00161,0.04498,0.03855,0.37581,0.24817,0.02848,0.00000,0.29967,0.38426,0.45497,0.63415,0.31625,0.36559
linear_weighted-llama_2_7b-tulu_all_0.6-science_100_0.4,0.24935,0.57705,0.47666,0.00137,0.06689,0.03276,0.31393,0.18029,0.00803,0.00000,0.28043,0.28274,0.38991,0.56250,0.27253,0.28043
linear_weighted-llama_2_7b-tulu_all_0.6-science_200_0.4,0.32917,0.61234,0.46903,0.00000,0.05482,0.03987,0.35781,0.26995,0.01730,0.00000,0.29425,0.29698,0.39566,0.57249,0.29765,0.29698
linear_weighted-llama_2_7b-tulu_all_0.6-science_2500_0.4,0.38923,0.60457,0.41678,0.00000,0.05091,0.04614,0.38961,0.27981,0.01245,0.00000,0.29425,0.34426,0.43094,0.65778,0.31270,0.34426
linear_weighted-llama_2_7b-tulu_all_0.6-science_500_0.4,0.36220,0.62517,0.48455,0.00000,0.05041,0.03740,0.33845,0.24631,0.03287,0.00000,0.31191,0.35154,0.43209,0.64062,0.31309,0.33845
linear_weighted-llama_2_7b-tulu_all_0.6-science_upsample_0.4,0.37295,0.62196,0.48666,0.00000,0.05189,0.03410,0.36485,0.27832,0.00000,0.00014,0.29989,0.33333,0.43250,0.60914,0.31083,0.33333
linear_weighted-llama_2_7b-tulu_all_0.7-science_1000_0.3,0.35730,0.58246,0.45557,0.00000,0.06026,0.04448,0.34373,0.27195,0.00865,0.00000,0.28175,0.34383,0.44344,0.59836,0.30035,0.34373
linear_weighted-llama_2_7b-tulu_all_0.7-science_100_0.3,0.31090,0.54963,0.45660,0.00136,0.06267,0.03406,0.31244,0.23972,0.01401,0.00000,0.28542,0.27064,0.38599,0.55967,0.27834,0.28542
linear_weighted-llama_2_7b-tulu_all_0.7-science_200_0.3,0.28721,0.55977,0.45404,0.00000,0.05965,0.03297,0.33152,0.29092,0.01102,0.00000,0.26784,0.29327,0.39408,0.57471,0.28454,0.29092
linear_weighted-llama_2_7b-tulu_all_0.7-science_2500_0.3,0.35217,0.57153,0.43747,0.00145,0.05656,0.03771,0.36401,0.26649,0.00087,0.00000,0.28726,0.30688,0.41096,0.61818,0.29649,0.30688
linear_weighted-llama_2_7b-tulu_all_0.7-science_500_0.3,0.36093,0.59135,0.44929,0.00000,0.06052,0.04467,0.32681,0.26806,0.01199,0.00000,0.29136,0.29736,0.40966,0.60241,0.29637,0.29736
linear_weighted-llama_2_7b-tulu_all_0.7-science_upsample_0.3,0.36326,0.57947,0.46383,0.00134,0.05358,0.04153,0.36517,0.26444,0.00000,0.00000,0.29759,0.28488,0.38785,0.60697,0.29811,0.29759
linear_weighted-llama_2_7b-tulu_all_0.8-science_1000_0.2,0.36923,0.53649,0.43895,0.00000,0.05579,0.02650,0.32568,0.24461,0.00000,0.00000,0.28366,0.28436,0.42175,0.57642,0.28320,0.28436
linear_weighted-llama_2_7b-tulu_all_0.8-science_100_0.2,0.36036,0.49790,0.43060,0.00138,0.05093,0.02065,0.31488,0.23239,0.00000,0.00000,0.25586,0.26872,0.38531,0.55752,0.26992,0.26872
linear_weighted-llama_2_7b-tulu_all_0.8-science_200_0.2,0.29703,0.53258,0.43452,0.00000,0.05714,0.03077,0.32195,0.24232,0.00000,0.00000,0.25727,0.26988,0.39963,0.58436,0.27246,0.26988
linear_weighted-llama_2_7b-tulu_all_0.8-science_2500_0.2,0.34437,0.52652,0.42439,0.00141,0.07198,0.03387,0.33882,0.23152,0.00000,0.00000,0.28690,0.27692,0.41108,0.58065,0.28019,0.28690
linear_weighted-llama_2_7b-tulu_all_0.8-science_500_0.2,0.35762,0.53829,0.43951,0.00000,0.06508,0.02305,0.32311,0.23632,0.00000,0.00000,0.27621,0.28501,0.39881,0.58723,0.28258,0.28501
linear_weighted-llama_2_7b-tulu_all_0.8-science_upsample_0.2,0.36080,0.50885,0.44178,0.00000,0.05040,0.02736,0.35044,0.26119,0.00000,0.00000,0.25545,0.29016,0.40377,0.55882,0.27981,0.29016
linear_weighted-llama_2_7b-tulu_all_0.9-science_1000_0.1,0.32751,0.42260,0.39816,0.00000,0.05016,0.01780,0.32205,0.25699,0.00000,0.00000,0.26614,0.28571,0.40751,0.56621,0.26323,0.28571
linear_weighted-llama_2_7b-tulu_all_0.9-science_100_0.1,0.34409,0.38447,0.40185,0.00170,0.05277,0.01362,0.32131,0.25195,0.00000,0.00000,0.24203,0.29703,0.39921,0.51402,0.25541,0.29703
linear_weighted-llama_2_7b-tulu_all_0.9-science_200_0.1,0.32517,0.45676,0.39699,0.00000,0.05418,0.02231,0.32282,0.25851,0.00000,0.00000,0.23569,0.26696,0.40250,0.53211,0.25902,0.26696
linear_weighted-llama_2_7b-tulu_all_0.9-science_2500_0.1,0.31983,0.38059,0.39525,0.00000,0.05709,0.01211,0.33008,0.25393,0.00000,0.00000,0.23000,0.29067,0.40762,0.54286,0.25457,0.29067
linear_weighted-llama_2_7b-tulu_all_0.9-science_500_0.1,0.32174,0.42489,0.41436,0.00000,0.04878,0.00841,0.32425,0.25388,0.00000,0.00000,0.24303,0.28998,0.41069,0.55708,0.26163,0.28998
linear_weighted-llama_2_7b-tulu_all_0.9-science_upsample_0.1,0.35776,0.38023,0.41004,0.00000,0.04701,0.00641,0.33290,0.26114,0.00000,0.00000,0.23054,0.28704,0.37452,0.49746,0.25492,0.28704
llama_2_70b-tulu_all-science_none,0.36885,0.50361,0.63239,0.00000,0.11168,0.03466,0.48404,0.29112,0.00000,0.00000,0.32506,0.43455,0.57008,0.76018,0.35559,0.36885
llama_2_70b-tulu_none-science_100,0.33956,0.60498,0.70260,0.00577,0.12266,0.05195,0.57502,0.09859,0.01388,0.00000,0.37232,0.45251,0.46305,0.66986,0.35927,0.37232
llama_2_70b-tulu_none-science_1000,0.38011,0.67972,0.71852,0.00876,0.07667,0.05038,0.63988,0.29112,0.02463,0.01188,0.44118,0.50279,0.54512,0.73333,0.40908,0.44118
llama_2_7b-tulu_all-science_100,0.32104,0.48772,0.47907,0.00000,0.01256,0.00503,0.32073,0.21600,0.00000,0.00000,0.28208,0.32289,0.39163,0.56780,0.27363,0.32073
llama_2_7b-tulu_all-science_1000,0.37100,0.49812,0.51519,0.00000,0.04978,0.03733,0.43991,0.21844,0.00000,0.00000,0.34817,0.38095,0.44335,0.63158,0.31392,0.37100
llama_2_7b-tulu_all-science_200,0.31059,0.41944,0.46126,0.00000,0.01976,0.02372,0.44007,0.23405,0.00000,0.00000,0.32954,0.31720,0.39363,0.58871,0.28369,0.31720
llama_2_7b-tulu_all-science_2500,0.37241,0.56053,0.49186,0.00000,0.03878,0.03693,0.47456,0.16676,0.00106,0.00000,0.34936,0.40494,0.45822,0.60287,0.31483,0.37241
llama_2_7b-tulu_all-science_500,0.30909,0.56002,0.47191,0.00000,0.04170,0.03083,0.40079,0.24413,0.00000,0.00000,0.35220,0.33854,0.41224,0.64655,0.30590,0.33854
llama_2_7b-tulu_all-science_none-seed_123,0.30488,0.15135,0.35319,0.00000,0.03080,0.00000,0.33588,0.25507,0.00000,0.00000,0.21269,0.25820,0.34959,0.48205,0.21674,0.25507
llama_2_7b-tulu_all-science_none-seed_42,0.30522,0.15135,0.35319,0.00000,0.03080,0.00000,0.33544,0.25419,0.00000,0.00000,0.21218,0.26122,0.34682,0.47423,0.21617,0.25419
llama_2_7b-tulu_all-science_none-seed_52830,0.30488,0.15135,0.35319,0.00000,0.03080,0.00000,0.33588,0.25419,0.00000,0.00000,0.21269,0.25820,0.34959,0.48205,0.21666,0.25419
llama_2_7b-tulu_all-science_upsample,0.37262,0.53197,0.52370,0.00000,0.00515,0.00258,0.47118,0.24619,0.00000,0.00000,0.27600,0.41226,0.47641,0.62673,0.31507,0.37262
llama_2_7b-tulu_match-science_100,0.29048,0.43238,0.50054,0.00000,0.02589,0.02104,0.32883,0.19297,0.05440,0.00000,0.33746,0.32000,0.37537,0.56067,0.27669,0.32000
llama_2_7b-tulu_match-science_1000,0.31944,0.56112,0.52906,0.00000,0.00000,0.00000,0.48209,0.25606,0.00274,0.00000,0.35741,0.39560,0.43753,0.54255,0.31328,0.35741
llama_2_7b-tulu_match-science_200,0.28506,0.53034,0.52540,0.00000,0.04187,0.02738,0.32500,0.22308,0.05659,0.00000,0.35748,0.33279,0.39226,0.54804,0.29324,0.32500
llama_2_7b-tulu_match-science_2500,0.30913,0.57305,0.53575,0.00000,0.04032,0.03629,0.24081,0.26867,0.00501,0.00711,0.34137,0.38814,0.42420,0.58163,0.29918,0.30913
llama_2_7b-tulu_match-science_500,0.30979,0.52851,0.55870,0.00000,0.01657,0.00829,0.45837,0.24254,0.05393,0.04894,0.36198,0.39122,0.45098,0.64844,0.32900,0.36198
llama_2_7b-tulu_none-science_100,0.31064,0.50372,0.56150,0.00000,0.01818,0.00909,0.37171,0.08231,0.02457,0.00000,0.28571,0.20253,0.25139,0.37126,0.24838,0.28571
llama_2_7b-tulu_none-science_1000,0.34437,0.61871,0.56070,0.00000,0.00284,0.00284,0.54415,0.26423,0.06088,0.09096,0.35614,0.41551,0.47902,0.56716,0.34779,0.35614
llama_2_7b-tulu_none-science_1000-seed_123,0.34802,0.61871,0.56070,0.00000,0.00284,0.00284,0.54415,0.26354,0.06088,0.09096,0.35614,0.40111,0.46439,0.57000,0.34700,0.35614
llama_2_7b-tulu_none-science_1000-seed_52830,0.34802,0.61229,0.56070,0.00000,0.00284,0.00284,0.54415,0.26423,0.06088,0.09096,0.35614,0.40111,0.46439,0.57000,0.34648,0.35614
llama_2_7b-tulu_none-science_200,0.28972,0.53174,0.57161,0.00000,0.00582,0.00291,0.48977,0.10007,0.11877,0.00000,0.34372,0.33434,0.38632,0.55363,0.30356,0.33434
llama_2_7b-tulu_none-science_2500,0.34553,0.53942,0.52249,0.00000,0.00521,0.00260,0.54563,0.18729,0.07692,0.14812,0.32979,0.42941,0.47041,0.66010,0.34454,0.34553
llama_2_7b-tulu_none-science_500,0.36175,0.59427,0.52279,0.00000,0.00979,0.00979,0.47788,0.26061,0.12835,0.20867,0.37883,0.39323,0.45646,0.58515,0.35648,0.37883
llama_2_7b-tulu_none-science_upsample,0.34884,0.56002,0.52963,0.00000,0.00512,0.00512,0.44082,0.26300,0.09137,0.19314,0.27725,0.40922,0.48811,0.65347,0.34290,0.34884
slerp-llama_2_7b-tulu_all_0.1-science_100_0.9,0.32962,0.53317,0.55757,0.00000,0.02372,0.01642,0.37417,0.08915,0.04035,0.00000,0.28450,0.28378,0.33407,0.52093,0.27609,0.28450
slerp-llama_2_7b-tulu_all_0.1-science_200_0.9,0.28899,0.56583,0.56045,0.00000,0.00580,0.00580,0.48764,0.09581,0.09484,0.00000,0.35397,0.33000,0.38471,0.55052,0.30308,0.33000
slerp-llama_2_7b-tulu_all_0.1-science_2500_0.9,0.34454,0.58780,0.52955,0.00000,0.02192,0.01218,0.54341,0.19583,0.06889,0.12933,0.32497,0.43407,0.50982,0.67925,0.35087,0.34454
slerp-llama_2_7b-tulu_all_0.1-science_500_0.9,0.37143,0.58528,0.54027,0.00000,0.01547,0.01768,0.47438,0.25673,0.11403,0.22147,0.38498,0.41202,0.47796,0.58974,0.36053,0.38498
slerp-llama_2_7b-tulu_all_0.1-science_upsample_0.9,0.35702,0.59451,0.53344,0.00000,0.01681,0.02161,0.43502,0.26829,0.11469,0.20045,0.29733,0.38806,0.46370,0.64000,0.34960,0.35702
slerp-llama_2_7b-tulu_all_0.2-science_1000_0.8,0.39474,0.66588,0.55513,0.00000,0.00713,0.01189,0.53479,0.26841,0.05408,0.08810,0.34447,0.46715,0.51949,0.65487,0.36679,0.39474
slerp-llama_2_7b-tulu_all_0.2-science_100_0.8,0.34261,0.59224,0.56221,0.00000,0.03544,0.01519,0.35736,0.10159,0.05924,0.00000,0.28998,0.31621,0.36595,0.55967,0.29241,0.31621
slerp-llama_2_7b-tulu_all_0.2-science_200_0.8,0.30867,0.58481,0.57138,0.00000,0.00000,0.00000,0.47924,0.10786,0.09627,0.00000,0.33676,0.34128,0.40517,0.55245,0.30716,0.33676
slerp-llama_2_7b-tulu_all_0.2-science_2500_0.8,0.33517,0.58709,0.52942,0.00000,0.02537,0.02307,0.53668,0.22669,0.04068,0.10173,0.34093,0.44199,0.51241,0.69484,0.35096,0.34093
slerp-llama_2_7b-tulu_all_0.2-science_500_0.8,0.36522,0.59590,0.54859,0.00000,0.02748,0.02326,0.45476,0.26203,0.12032,0.16247,0.36381,0.41215,0.47544,0.61789,0.35733,0.36522
slerp-llama_2_7b-tulu_all_0.2-science_upsample_0.8,0.36641,0.61458,0.53643,0.00000,0.01800,0.02250,0.42960,0.27297,0.10875,0.19860,0.31557,0.36196,0.44421,0.62944,0.35021,0.36196
slerp-llama_2_7b-tulu_all_0.3-science_1000_0.7,0.38753,0.68343,0.54126,0.00000,0.02506,0.03189,0.51455,0.26629,0.05222,0.04686,0.34439,0.47418,0.50801,0.67234,0.36437,0.38753
slerp-llama_2_7b-tulu_all_0.3-science_100_0.7,0.31746,0.58370,0.53615,0.00000,0.04622,0.02773,0.34130,0.10789,0.04818,0.00000,0.29490,0.30827,0.36872,0.55906,0.28574,0.30827
slerp-llama_2_7b-tulu_all_0.3-science_200_0.7,0.33962,0.61944,0.56949,0.00000,0.00288,0.00288,0.47016,0.12544,0.10334,0.00000,0.33437,0.33203,0.40776,0.56140,0.31438,0.33437
slerp-llama_2_7b-tulu_all_0.3-science_2500_0.7,0.33255,0.62648,0.51021,0.00000,0.02714,0.02505,0.52346,0.26431,0.03943,0.05738,0.32783,0.42778,0.49164,0.69159,0.34802,0.33255
slerp-llama_2_7b-tulu_all_0.3-science_500_0.7,0.35269,0.62306,0.53429,0.00000,0.03431,0.03431,0.43112,0.26073,0.11741,0.04041,0.34765,0.40336,0.46939,0.64542,0.34459,0.35269
slerp-llama_2_7b-tulu_all_0.3-science_upsample_0.7,0.38185,0.64693,0.53624,0.00000,0.01932,0.03092,0.41853,0.27086,0.07491,0.13499,0.30976,0.36533,0.43412,0.59794,0.34151,0.36533
slerp-llama_2_7b-tulu_all_0.4-science_1000_0.6,0.36771,0.67849,0.53557,0.00000,0.03093,0.03505,0.49040,0.26051,0.05103,0.01109,0.32139,0.45476,0.49431,0.68033,0.35293,0.36771
slerp-llama_2_7b-tulu_all_0.4-science_100_0.6,0.31336,0.57383,0.52529,0.00000,0.04141,0.03221,0.32879,0.11621,0.04604,0.00000,0.30087,0.31068,0.38034,0.55814,0.28315,0.31068
slerp-llama_2_7b-tulu_all_0.4-science_200_0.6,0.32696,0.63699,0.54406,0.00000,0.02808,0.02160,0.45003,0.15746,0.09039,0.00000,0.31924,0.32165,0.39163,0.55439,0.31175,0.32165
slerp-llama_2_7b-tulu_all_0.4-science_2500_0.6,0.37849,0.62234,0.49473,0.00000,0.03789,0.03988,0.50554,0.27761,0.04175,0.00241,0.30887,0.41954,0.48500,0.64840,0.33978,0.37849
slerp-llama_2_7b-tulu_all_0.4-science_500_0.6,0.37895,0.64516,0.50258,0.00000,0.03749,0.03187,0.40668,0.24922,0.09673,0.00233,0.32577,0.39907,0.45575,0.64567,0.33542,0.37895
slerp-llama_2_7b-tulu_all_0.4-science_upsample_0.6,0.39139,0.66047,0.52291,0.00000,0.03790,0.03273,0.41511,0.26876,0.04406,0.06609,0.32205,0.36474,0.42638,0.61458,0.33710,0.36474
slerp-llama_2_7b-tulu_all_0.5-science_1000_0.5,0.37083,0.65511,0.51840,0.00000,0.05822,0.03938,0.42611,0.23942,0.04396,0.00000,0.32350,0.42453,0.47995,0.67470,0.33952,0.37083
slerp-llama_2_7b-tulu_all_0.5-science_100_0.5,0.31555,0.60160,0.50208,0.00145,0.06503,0.03902,0.31830,0.13484,0.03042,0.00000,0.29185,0.30339,0.39367,0.55814,0.28375,0.30339
slerp-llama_2_7b-tulu_all_0.5-science_200_0.5,0.38095,0.62013,0.51314,0.00000,0.04711,0.02944,0.39915,0.20424,0.05417,0.00000,0.30330,0.28947,0.38028,0.54152,0.30483,0.30330
slerp-llama_2_7b-tulu_all_0.5-science_2500_0.5,0.39832,0.61712,0.45565,0.00000,0.05352,0.04639,0.45557,0.28674,0.04281,0.00000,0.30989,0.36517,0.44780,0.65766,0.33113,0.36517
slerp-llama_2_7b-tulu_all_0.5-science_500_0.5,0.35104,0.65138,0.49205,0.00000,0.03191,0.03369,0.37205,0.23581,0.07488,0.00000,0.32505,0.40093,0.45625,0.64093,0.32509,0.35104
slerp-llama_2_7b-tulu_all_0.5-science_upsample_0.5,0.38057,0.65729,0.50287,0.00000,0.04204,0.02910,0.38771,0.27052,0.01431,0.00950,0.30127,0.34320,0.40792,0.60733,0.31969,0.34320
slerp-llama_2_7b-tulu_all_0.6-science_1000_0.4,0.36559,0.61143,0.48106,0.00157,0.04567,0.03937,0.37551,0.24335,0.02774,0.00000,0.29825,0.38318,0.45268,0.63415,0.31508,0.36559
slerp-llama_2_7b-tulu_all_0.6-science_100_0.4,0.24806,0.57315,0.47585,0.00139,0.05989,0.03203,0.31362,0.17877,0.01155,0.00000,0.27983,0.28157,0.38582,0.56031,0.27115,0.27983
slerp-llama_2_7b-tulu_all_0.6-science_200_0.4,0.32947,0.60803,0.47534,0.00000,0.05254,0.03390,0.35902,0.26756,0.01730,0.00000,0.30022,0.29698,0.39640,0.57249,0.29809,0.30022
slerp-llama_2_7b-tulu_all_0.6-science_2500_0.4,0.39293,0.60256,0.42067,0.00000,0.04607,0.04607,0.39005,0.28367,0.01148,0.00000,0.29333,0.34426,0.43094,0.65778,0.31298,0.34426
slerp-llama_2_7b-tulu_all_0.6-science_500_0.4,0.35343,0.62729,0.48250,0.00000,0.04983,0.03821,0.33876,0.24967,0.03287,0.00000,0.31224,0.35461,0.43300,0.63813,0.31267,0.33876
slerp-llama_2_7b-tulu_all_0.6-science_upsample_0.4,0.37652,0.62526,0.48876,0.00000,0.05178,0.03994,0.35884,0.27492,0.00752,0.00014,0.30000,0.33529,0.42939,0.60914,0.31165,0.33529
slerp-llama_2_7b-tulu_all_0.7-science_1000_0.3,0.35808,0.58279,0.45672,0.00000,0.05874,0.04585,0.34360,0.27301,0.00865,0.00000,0.28081,0.33898,0.44385,0.59836,0.29998,0.33898
slerp-llama_2_7b-tulu_all_0.7-science_100_0.3,0.31163,0.55354,0.45635,0.00135,0.06491,0.03516,0.31244,0.24142,0.01401,0.00000,0.27984,0.26941,0.38470,0.55510,0.27806,0.27984
slerp-llama_2_7b-tulu_all_0.7-science_200_0.3,0.28721,0.56232,0.45379,0.00000,0.06022,0.03328,0.33358,0.28943,0.01102,0.00000,0.27003,0.29665,0.39169,0.56705,0.28466,0.28943
slerp-llama_2_7b-tulu_all_0.7-science_2500_0.3,0.35217,0.57185,0.43620,0.00146,0.05857,0.04100,0.36468,0.26827,0.00107,0.00000,0.28633,0.30400,0.40097,0.61818,0.29648,0.30400
slerp-llama_2_7b-tulu_all_0.7-science_500_0.3,0.36289,0.59009,0.44922,0.00000,0.06807,0.04634,0.32644,0.26920,0.01199,0.00000,0.28213,0.29540,0.40951,0.60241,0.29617,0.29540
slerp-llama_2_7b-tulu_all_0.7-science_upsample_0.3,0.36326,0.57509,0.46508,0.00136,0.06102,0.04339,0.36523,0.26608,0.00000,0.00000,0.29945,0.27746,0.38327,0.60697,0.29815,0.29945
slerp-llama_2_7b-tulu_all_0.8-science_1000_0.2,0.36324,0.53420,0.43844,0.00000,0.05968,0.02637,0.32718,0.24531,0.00000,0.00000,0.29478,0.28640,0.42413,0.57642,0.28415,0.29478
slerp-llama_2_7b-tulu_all_0.8-science_100_0.2,0.35955,0.49330,0.42687,0.00137,0.05605,0.01914,0.31488,0.23229,0.00000,0.00000,0.26485,0.26754,0.37252,0.55507,0.27004,0.26754
slerp-llama_2_7b-tulu_all_0.8-science_200_0.2,0.30392,0.53187,0.43502,0.00000,0.05966,0.03132,0.32101,0.24238,0.00000,0.00000,0.25785,0.26794,0.39678,0.58197,0.27287,0.26794
slerp-llama_2_7b-tulu_all_0.8-science_2500_0.2,0.33996,0.52157,0.42503,0.00141,0.07491,0.03251,0.33820,0.23123,0.00000,0.00000,0.28778,0.27390,0.40621,0.58333,0.27963,0.28778
slerp-llama_2_7b-tulu_all_0.8-science_500_0.2,0.35730,0.53747,0.44095,0.00000,0.06421,0.02274,0.32280,0.23310,0.00000,0.00000,0.28281,0.26895,0.37972,0.58974,0.28158,0.28281
slerp-llama_2_7b-tulu_all_0.8-science_upsample_0.2,0.35189,0.51193,0.44250,0.00000,0.04400,0.02555,0.34816,0.26360,0.00000,0.00000,0.25078,0.28941,0.40221,0.55882,0.27828,0.28941
slerp-llama_2_7b-tulu_all_0.9-science_1000_0.1,0.32751,0.42180,0.39355,0.00000,0.04505,0.01609,0.32248,0.25506,0.00000,0.00000,0.26061,0.28689,0.40602,0.56621,0.26174,0.28689
slerp-llama_2_7b-tulu_all_0.9-science_100_0.1,0.34409,0.38705,0.40078,0.00172,0.04639,0.01203,0.32168,0.25328,0.00000,0.00000,0.22997,0.30099,0.40251,0.51643,0.25461,0.30099
slerp-llama_2_7b-tulu_all_0.9-science_200_0.1,0.32517,0.44851,0.39662,0.00000,0.05375,0.02280,0.32251,0.25578,0.00000,0.00000,0.23543,0.26464,0.39845,0.54128,0.25852,0.26464
slerp-llama_2_7b-tulu_all_0.9-science_2500_0.1,0.31915,0.38515,0.39388,0.00000,0.05699,0.01069,0.33021,0.25225,0.00000,0.00000,0.22156,0.28879,0.40661,0.54286,0.25371,0.28879
slerp-llama_2_7b-tulu_all_0.9-science_500_0.1,0.32244,0.42526,0.41277,0.00000,0.04878,0.00841,0.32368,0.25365,0.00000,0.00000,0.23984,0.29237,0.41034,0.55708,0.26144,0.29237
slerp-llama_2_7b-tulu_all_0.9-science_upsample_0.1,0.34894,0.38135,0.41815,0.00000,0.04348,0.00652,0.33315,0.26035,0.00000,0.00000,0.21344,0.28054,0.38089,0.50251,0.25290,0.28054
ties-llama_2_7b-tulu_all_0.1-science_1000_0.9,0.43173,0.66783,0.42774,0.00000,0.00000,0.00000,0.50988,0.32851,0.08099,0.15503,0.36032,0.46196,0.52825,0.71074,0.37589,0.42774
ties-llama_2_7b-tulu_all_0.1-science_100_0.9,0.41889,0.57703,0.43993,0.00000,0.06501,0.03734,0.32573,0.25267,0.04940,0.08041,0.28279,0.27500,0.39865,0.55556,0.30204,0.28279
ties-llama_2_7b-tulu_all_0.1-science_200_0.9,0.41905,0.60111,0.55222,0.00000,0.00000,0.00563,0.46488,0.28703,0.09738,0.09102,0.32252,0.32258,0.41667,0.55052,0.33712,0.32258
ties-llama_2_7b-tulu_all_0.1-science_2500_0.9,0.36684,0.56673,0.55066,0.00000,0.00583,0.00000,0.55911,0.30622,0.09355,0.22028,0.33509,0.43228,0.51484,0.70485,0.37650,0.36684
