model_key,base_model,tulu_model,tulu_model_weight,domain_model,domain_model_weight,merge_method,bbh_cot,bbh_direct,codex_eval_temp_0.1,codex_eval_temp_0.8,gsm_cot,gsm_direct,mmlu_0shot,mmlu_5shot,toxigen,truthfulqa,tydiqa_goldp_1shot,tydiqa_no_context_1shot,alpaca_eval,codex_eval_plus_temp_0.1,codex_eval_plus_temp_0.8,mbpp_temp_0.1,mbpp_temp_0.8,bioasq_f1,biored_f1,discomat_bleu,evidence_inference_f1_exact,evidence_inference_f1_overlap,evidence_inference_f1_substring,multicite_f1,mup_lm_judge_reference,mup_rouge,qasper_f1_answer,qasper_f1_evidence,qasper_lm_judge_answer,scierc_f1,scifact_f1_evidence_sent,scifact_f1_evidence_token,scifact_f1_label,mean_null,median_null,bioasq_f1_TEST,biored_f1_TEST,discomat_bleu_TEST,evidence_inference_f1_exact_TEST,evidence_inference_f1_overlap_TEST,evidence_inference_f1_substring_TEST,multicite_f1_TEST,mup_lm_judge_reference_TEST,mup_rouge_TEST,qasper_f1_answer_TEST,qasper_f1_evidence_TEST,qasper_lm_judge_answer_TEST,scierc_f1_TEST,scifact_f1_evidence_sent_TEST,scifact_f1_evidence_token_TEST,scifact_f1_label_TEST,mean_null_TEST,median_null_TEST,harmbench,safe_average,unsafe_average
llama_2_7b-tulu_none-coding_100,llama_2_7b,tulu_none,1.0,coding_100,1.0,N/A,0.39444444444444443,0.32592592592592595,0.42835365853658536,0.679960656084835,0.18,0.04,0.42009685230024213,0.39545648767981767,0.6914285714285714,0.4773561811505508,33.62582900563616,12.01426543061567,63.57409713574097,0.31768292682926824,0.5556860030025098,0.38758992805755393,0.5767628227842718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_weighted-llama_2_7b-tulu_all_0.1-llama_2_7b-tulu_none-safety_100_0.9,llama_2_7b,tulu_all,0.1,safety_100,0.9,linear_weighted,0.2916666666666667,0.3027777777777778,0.1326219512195122,0.22922913094607575,0.125,0.015,0.3929639652471158,0.3852015382424156,0.0,0.3880048959608323,24.517615054525116,5.837728077368706,4.601990049751244,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.799999568000018,0.0
llama_2_7b-tulu_all,llama_2_7b,tulu_all,1.0,None,1.0,N/A,0.44814814814814824,0.4027777777777778,0.18536585365853658,0.3336355227118271,0.325,0.08,0.4962968238142715,0.5101837345107535,0.624,0.4834761321909425,47.906662612959444,12.01092601344977,74.25187032418953,0.12865853658536586,0.29762817696537397,0.2764388489208633,0.45486239988935045,0.44516,0.33209,0.22836,0.00297,0.15875,0.04896,0.35312,0.0,0.19656,0.15123,0.2372,0.0,0.13139,0.28174,0.38845,0.54286,0.27804,0.2372,0.44051,0.33545,0.22836,0.00295,0.15646,0.04871,0.35236,0.0,0.19786,0.15123,0.2372,0.0,0.14372,0.27915,0.3853,0.54545,0.27889,0.2372,55.75,99.19999603200017,30.999998760000054
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-safety_100_0.1,llama_2_7b,tulu_all,1.0,safety_100,0.1,task_arithmetic,0.4731481481481481,0.412962962962963,0.1871951219512195,0.331417336722026,0.335,0.08,0.49309215211508334,0.511038313630537,0.3068571428571429,0.5397796817625459,47.63608874395709,12.32299191140914,75.49751243781094,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.75,98.39999606400018,21.999999120000034
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-safety_100_0.2,llama_2_7b,tulu_all,1.0,safety_100,0.2,task_arithmetic,0.4842592592592594,0.39351851851851843,0.20518292682926828,0.3186734356031343,0.295,0.07,0.48532972511038314,0.5064805583250249,0.04385714285714286,0.5887392900856793,45.73872242885414,10.704933474677754,70.95771144278606,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.75,92.79999628800016,10.499999580000017
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-safety_100_0.3,llama_2_7b,tulu_all,1.0,safety_100,0.3,task_arithmetic,0.4527777777777778,0.3805555555555557,0.21951219512195122,0.3541231242894386,0.315,0.075,0.4852585101837345,0.5069078478849167,0.0005714285714285715,0.6352509179926561,43.701427182553175,10.63861357104257,67.14285714285714,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,82.39999670400013,4.999999800000008
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-safety_100_0.4,llama_2_7b,tulu_all,1.0,safety_100,0.4,task_arithmetic,0.4120370370370371,0.3796296296296297,0.2167682926829268,0.36748874190824654,0.31,0.075,0.48426150121065376,0.5023500925794047,0.0,0.6572827417380661,41.3901150873767,10.159204619196872,62.873134328358205,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,75.19999699200012,3.4999998600000053
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-safety_100_0.5,llama_2_7b,tulu_all,1.0,safety_100,0.5,task_arithmetic,0.3916666666666667,0.41666666666666674,0.22408536585365854,0.3705705587171267,0.31,0.07,0.48041589517162797,0.49494374020794757,0.0,0.6621787025703795,39.312748450399646,9.18662553807534,52.67412935323384,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,65.59999737600009,2.9999998800000047
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-safety_100_0.6,llama_2_7b,tulu_all,1.0,safety_100,0.6,task_arithmetic,0.40370370370370373,0.4074074074074075,0.22134146341463412,0.33639469908630976,0.33,0.07,0.47649907420595355,0.4898874804158952,0.0,0.6450428396572827,37.21402458569576,8.778567900076318,43.35403726708075,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,59.5999976160001,2.9999998800000047
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-safety_100_0.9,llama_2_7b,tulu_all,1.0,safety_100,0.9,task_arithmetic,0.3398148148148149,0.35555555555555557,0.18079268292682926,0.3184265047796725,0.225,0.07,0.4616863694630394,0.468807862127902,0.0,0.5079559363525091,27.978909344517234,6.727524041700388,25.77639751552795,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,42.79999828800006,1.9999999200000032
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-safety_100_0.8,llama_2_7b,tulu_all,1.0,safety_100,0.8,task_arithmetic,0.362037037037037,0.36111111111111105,0.1893292682926829,0.32131112676495144,0.285,0.075,0.46752599344822676,0.47706879361914256,0.0,0.5691554467564259,31.064098601248833,7.551014744537446,30.124223602484474,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,46.79999812800008,1.9999999200000032
task_arithmetic-llama_2_7b-tulu_all_1.0-llama_2_7b-tulu_none-safety_100_0.7,llama_2_7b,tulu_all,1.0,safety_100,0.7,task_arithmetic,0.3916666666666667,0.3787037037037037,0.20762195121951219,0.33653879157163913,0.32,0.08,0.47172767412049565,0.48390542657741065,0.0,0.6119951040391677,34.90868810102035,8.40670174784385,36.940298507462686,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,52.799997888000085,2.4999999000000037
