model_key,base_model,tulu_model,tulu_model_weight,science_model,science_model_weight,merge_method,bbh_cot,bbh_direct,codex_eval_temp_0.1,codex_eval_temp_0.8,gsm_cot,gsm_direct,mmlu_0shot,mmlu_5shot,toxigen,truthfulqa,tydiqa_goldp_1shot,tydiqa_no_context_1shot,alpaca_farm,harmbench,safe_average,unsafe_average,invert_toxigen,invert_unsafe_average,normalized_safe_average,normalized_harmbench,Tulu Average (Other Evals),Tulu Average (Tulu Subset),Safety Average,Combo
tulu_2_7b_uncensored-tulu_match-safety_60,tulu_2_7b_uncensored,tulu_match,1.0,safety_60,1.0,N/A,0.4287037037037037,0.362037037037037,0.1856707317073171,0.36983646592024605,0.26,0.04,0.47058823529411764,0.4908132744623273,0.015285714285714286,0.5299877600979193,0.4631207832827468,0.10609129222073188,0.0,7.0,26.799998928000036,0.0,0.9847142857142858,1.0,0.26799998928000035,0.9299999999999999,0.2792376016482901,0.43836890425162744,0.7956785687485715,Tulu 2 7B Uncensored -> Tulu Match & Safety 60%
llama_2_7b-tulu_all-safety_40,llama_2_7b,tulu_all,1.0,safety_40,1.0,N/A,0.4083333333333332,0.38425925925925913,0.2192073170731707,0.36966871005608454,0.365,0.065,0.4974362626406495,0.5040592508189716,0.007857142857142858,0.5128518971848225,0.45010465257594684,0.11108053291702386,0.0,11.5,47.999998080000076,0.0,0.9921428571428571,1.0,0.4799999808000008,0.885,0.29794426848123284,0.4494422141167117,0.8392857094857145,Llama 2 7B -> Tulu All & Safety 40%
llama_2_7b-tulu_all-safety_20,llama_2_7b,tulu_all,1.0,safety_20,1.0,N/A,0.4370370370370371,0.38240740740740736,0.21006097560975606,0.35916573421292897,0.305,0.075,0.4927360774818402,0.4955134596211366,0.005,0.5238678090575275,0.4683237959379158,0.12056211799238035,0.0,14.25,57.99999768000009,1.4999999400000024,0.995,0.9850000005999999,0.5799999768000009,0.8575,0.2965095700419695,0.4476413067159062,0.8543749943500002,Llama 2 7B -> Tulu All & Safety 20%
tulu_2_7b_uncensored-tulu_match-safety_80,tulu_2_7b_uncensored,tulu_match,1.0,safety_80,1.0,N/A,0.4194444444444445,0.3861111111111111,0.1942073170731707,0.3563319373369966,0.275,0.04,0.4807007548782225,0.4860418743768694,0.022714285714285715,0.5336597307221542,0.46393090228191974,0.10970187910626224,0.0,13.75,19.599999216000032,0.0,0.9772857142857143,1.0,0.19599999216000033,0.8625,0.2836840093407138,0.4382941854936815,0.7589464266114286,Tulu 2 7B Uncensored -> Tulu Match & Safety 80%
tulu_2_7b_uncensored-tulu_none-safety_20,tulu_2_7b_uncensored,tulu_none,0.0,safety_20,1.0,N/A,0.37129629629629624,0.31111111111111106,0.17591463414634145,0.32282799225240516,0.17,0.015,0.4572710440108247,0.47984617575843896,0.0,0.3390452876376989,0.3166272805562398,0.0792611760284793,0.0,0.0,6.399999744000009,0.0,1.0,1.0,0.0639999974400001,1.0,0.2568298788004683,0.3721334875941831,0.7659999993600001,Tulu 2 7B Uncensored -> Tulu None & Safety 20%
tulu_2_7b_uncensored-tulu_match-safety_20,tulu_2_7b_uncensored,tulu_match,1.0,safety_20,1.0,N/A,0.4416666666666667,0.3907407407407408,0.20121951219512196,0.35167516920140945,0.285,0.045,0.48369178179746475,0.48483122062384276,0.00014285714285714287,0.49571603427172584,0.45411853726459833,0.11676619757393514,0.0,8.0,34.39999862400005,0.0,0.9998571428571429,1.0,0.3439999862400005,0.92,0.28723148195958054,0.438965666507376,0.8159642822742859,Tulu 2 7B Uncensored -> Tulu Match & Safety 20%
tulu_2_7b_uncensored-tulu_match-safety_40,tulu_2_7b_uncensored,tulu_match,1.0,safety_40,1.0,N/A,0.40370370370370373,0.3675925925925925,0.2173780487804878,0.3595037541934016,0.27,0.065,0.48540094003703177,0.48924654607605755,0.004571428571428572,0.5177478580171359,0.45569643142293303,0.12130937584047134,0.0,9.5,25.599998976000037,0.0,0.9954285714285714,1.0,0.2559999897600004,0.905,0.2916288515609444,0.4359351573503472,0.7891071402971429,Tulu 2 7B Uncensored -> Tulu Match & Safety 40%
tulu_2_7b_uncensored-tulu_match-safety_100,tulu_2_7b_uncensored,tulu_match,1.0,safety_100,1.0,N/A,0.4166666666666667,0.36574074074074076,0.18079268292682926,0.3536022329252715,0.335,0.055,0.4900299102691924,0.5002848597065945,0.012,0.5287637698898409,0.459993662143383,0.12381554132536111,0.0,13.25,27.99999888000005,0.0,0.988,1.0,0.2799999888000005,0.8674999999999999,0.2876531140676867,0.44650703023679433,0.7838749972000002,Tulu 2 7B Uncensored -> Tulu Match & Safety 100%
tulu_2_7b_uncensored-tulu_none-safety_40,tulu_2_7b_uncensored,tulu_none,0.0,safety_40,1.0,N/A,0.34074074074074073,0.3203703703703703,0.16219512195121952,0.3350349623946996,0.215,0.05,0.4562740350377439,0.4738641219199544,0.0,0.3574051407588739,0.2888778280515061,0.06811208485372998,0.0,0.0,12.399999504000021,0.0,1.0,1.0,0.12399999504000021,1.0,0.2580676368358715,0.3741665883729455,0.78099999876,Tulu 2 7B Uncensored -> Tulu None & Safety 40%
tulu_2_7b_uncensored-tulu_none-safety_60,tulu_2_7b_uncensored,tulu_none,0.0,safety_60,1.0,N/A,0.3296296296296297,0.3333333333333333,0.14908536585365853,0.3079837599914244,0.245,0.06,0.44908132744623275,0.4696624412476855,0.0,0.40269277845777235,0.3037971869493967,0.07179110557140003,0.0,0.0,10.799999568000015,0.0,1.0,1.0,0.10799999568000014,1.0,0.2589224478756272,0.37977308530930703,0.77699999892,Tulu 2 7B Uncensored -> Tulu None & Safety 60%
tulu_2_7b_uncensored-tulu_none-safety_upsample,tulu_2_7b_uncensored,tulu_none,0.0,safety_upsample,1.0,N/A,0.2712962962962963,0.3435185185185186,0.14542682926829267,0.25409142130240064,0.175,0.07,0.4247258225324028,0.4436689930209372,0.0,0.3990208078335373,0.31081229179128955,0.06929440223494421,0.0,0.0,7.599999696000012,0.0,1.0,1.0,0.07599999696000012,1.0,0.25259628934393835,0.35436832996949075,0.7689999992400001,Tulu 2 7B Uncensored -> Tulu None & Safety Upsample
tulu_2_7b_uncensored-tulu_none-safety_80,tulu_2_7b_uncensored,tulu_none,0.0,safety_80,1.0,N/A,0.3611111111111111,0.3333333333333333,0.1804878048780488,0.32334528625493664,0.23,0.035,0.46118786497649905,0.4824811280444381,0.0,0.397796817625459,0.3259734279170693,0.06871083262442174,0.0,0.0,13.199999472000021,0.0,1.0,1.0,0.1319999947200002,1.0,0.26374903782077996,0.3874268134856344,0.78299999868,Tulu 2 7B Uncensored -> Tulu None & Safety 80%
