model_key,base_model,tulu_model,tulu_model_weight,science_model,science_model_weight,merge_method,bbh_cot,bbh_direct,codex_eval_temp_0.1,codex_eval_temp_0.8,gsm_cot,gsm_direct,mmlu_0shot,mmlu_5shot,toxigen,truthfulqa,tydiqa_goldp_1shot,tydiqa_no_context_1shot,alpaca_farm,bioasq,biored,discomat,evidence_inference,multicite,mup,qasper,scierc,scifact,mean,median,invert_toxigen,Tulu Average (Other Evals),Tulu Average (Tulu Subset),Science Average,Combo,Order
llama_2_7b-tulu_all-science_none-seed_42,llama_2_7b,tulu_all,1.0,science_none,0.0,N/A,0.4564814814814816,0.387037037037037,0.23353658536585364,0.3773078230008306,0.295,0.075,0.5023500925794047,0.5113943882637801,0.038,0.5042839657282742,0.4869423730637931,0.12973737108924163,0.0,0.41802,0.15129,0.47823,0.0,0.33588,0.28403,0.03022,0.21218,0.49485,0.24739,0.25963,0.962,0.3080166283366154,0.448045716981723,0.24739,Llama 2 7B -> Tulu All Seed 42 & Science None,1.0
llama_2_7b-tulu_all-science_100,llama_2_7b,tulu_all,1.0,science_100,1.0,N/A,0.4425925925925926,0.38240740740740753,0.23719512195121956,0.3830180240359203,0.3,0.065,0.5042728955989175,0.5127474718701039,0.017142857142857144,0.5104039167686658,0.4769485833023886,0.12720793315331952,0.0,0.42692,0.48048,0.56704,0.00515,0.32073,0.21234,0.08569,0.28208,0.58091,0.30405,0.32073,0.9828571428571429,0.3062175677086924,0.4500116443944534,0.30405,Llama 2 7B -> Tulu All & Science 100,1.0
llama_2_7b-tulu_all-science_none-seed_52830,llama_2_7b,tulu_all,1.0,science_none,0.0,N/A,0.4583333333333335,0.3907407407407407,0.23353658536585367,0.3773078230008306,0.295,0.075,0.5023500925794047,0.5113943882637801,0.038857142857142854,0.5006119951040392,0.4869423730637931,0.12973737108924163,0.0,0.41802,0.15129,0.47968,0.0,0.33544,0.28403,0.03022,0.21218,0.49485,0.24748,0.25963,0.9611428571428572,0.30863391228723275,0.4477110592780323,0.24748,Llama 2 7B -> Tulu All Seed 52830 & Science None,1.0
llama_2_7b-tulu_all-science_200,llama_2_7b,tulu_all,1.0,science_200,1.0,N/A,0.4398148148148148,0.36944444444444435,0.23262195121951224,0.37905868201118526,0.34,0.075,0.5040592508189716,0.5116792479703746,0.08114285714285714,0.4981640146878825,0.45262841759393185,0.13461574203890467,0.0,0.43121,0.42009,0.55396,0.02575,0.44085,0.19344,0.07754,0.32954,0.6063,0.31275,0.32954,0.9188571428571428,0.3058401056072684,0.4415727903479912,0.31275,Llama 2 7B -> Tulu All & Science 200,1.0
llama_2_7b-tulu_all-science_none-seed_123,llama_2_7b,tulu_all,1.0,science_none,0.0,N/A,0.4240740740740741,0.387037037037037,0.23353658536585364,0.3773078230008306,0.295,0.075,0.5023500925794047,0.5108246688505911,0.03785714285714286,0.5042839657282742,0.4869423730637931,0.12973737108924163,0.0,0.42391,0.15372,0.47823,0.0,0.33588,0.28417,0.03022,0.21269,0.49485,0.2482,0.25963,0.9621428571428572,0.3078267218655524,0.4440126481986542,0.2482,Llama 2 7B -> Tulu All Seed 123 & Science None,1.0
llama_2_7b-tulu_all-science_500,llama_2_7b,tulu_all,1.0,science_500,1.0,N/A,0.4796296296296297,0.40925925925925916,0.21341463414634146,0.3570344129554656,0.325,0.065,0.5004272895598918,0.5069790628115654,0.06928571428571428,0.5079559363525091,0.4715625107826058,0.12071518009321097,0.0,0.42656,0.55976,0.56421,0.0382,0.4015,0.18819,0.1216,0.35315,0.66116,0.33733,0.35315,0.9307142857142857,0.3037245331869904,0.44654050812429846,0.33733,Llama 2 7B -> Tulu All & Science 500,1.0
llama_2_7b-tulu_all-science_2500,llama_2_7b,tulu_all,1.0,science_2500,1.0,N/A,0.46666666666666673,0.42592592592592593,0.20518292682926828,0.37240854648636124,0.365,0.075,0.4977923372738926,0.5077624270047002,0.09614285714285714,0.48959608323133413,0.48677602339312787,0.12649199762688787,0.0,0.44864,0.57175,0.5901,0.03818,0.47593,0.2065,0.15369,0.34936,0.63348,0.35618,0.39243,0.9038571428571429,0.30802095073191377,0.44776209998856564,0.35618,Llama 2 7B -> Tulu All & Science 2500,1.0
llama_2_7b-tulu_all-science_1000,llama_2_7b,tulu_all,1.0,science_1000,1.0,N/A,0.43796296296296294,0.3925925925925925,0.22804878048780486,0.3659226354706986,0.34,0.08,0.49715140293405496,0.5053411194986469,0.03257142857142857,0.543451652386781,0.45724235509760613,0.12387667824779652,0.0,0.43892,0.50125,0.60559,0.05066,0.44088,0.23815,0.13678,0.34449,0.65158,0.35092,0.3905,0.9674285714285714,0.305866715054248,0.4511449475350844,0.35092,Llama 2 7B -> Tulu All & Science 1000,1.0
llama_2_7b-tulu_all-science_upsample,llama_2_7b,tulu_all,1.0,science_upsample,1.0,N/A,0.42777777777777776,0.39722222222222225,0.21341463414634146,0.3475895894862519,0.34,0.08,0.49181028343540806,0.49544224469448794,0.15828571428571428,0.5140758873929009,0.4639873543647277,0.12275183761818786,0.0,0.44663,0.53362,0.57944,0.00287,0.47103,0.24663,0.13052,0.27628,0.61261,0.34337,0.42818,0.8417142857142857,0.30071219722928794,0.428369397271419,0.34337,Llama 2 7B -> Tulu All & Science Upsample,1.0
llama_2_7b-tulu_none-science_200,llama_2_7b,tulu_none,0.0,science_200,1.0,N/A,0.31296296296296294,0.33148148148148143,0.10579268292682928,0.14986832996347457,0.125,0.075,0.3909699473009543,0.3785785500640934,0.7081428571428572,0.2864137086903305,0.5514016408202023,0.14144940379342366,0.0,0.38155,0.53056,0.65447,0.00291,0.48977,0.19399,0.08065,0.34275,0.56,0.33967,0.34275,0.2918571428571428,0.23514677805498688,0.2635592165743834,0.33967,Llama 2 7B -> Tulu None & Science 200,0.0
