task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,scierc,scifact,scifact,scifact,mean,median
metric,f1,f1,bleu,f1_exact,f1_overlap,f1_substring,f1,bleu,bleu,f1,f1_evidence_sent,f1_evidence_token,f1_label,null,null
linear_weighted-llama_2_7b-tulu_all_0.6-science_2500_0.4,0.38923,0.60457,0.41678,0.00000,0.05091,0.04614,0.38961,0.01083,0.01705,0.29425,0.34426,0.43094,0.65778,0.31753,0.36675
linear_weighted-llama_2_7b-tulu_all_0.6-science_500_0.4,0.36220,0.62517,0.48455,0.00000,0.05041,0.03740,0.33845,0.01029,0.02429,0.31191,0.35154,0.43209,0.64062,0.31994,0.34500
linear_weighted-llama_2_7b-tulu_all_0.7-science_1000_0.3,0.35730,0.58246,0.45557,0.00000,0.06026,0.04448,0.34373,0.01104,0.00898,0.28175,0.34383,0.44344,0.59836,0.30433,0.34378
linear_weighted-llama_2_7b-tulu_all_0.7-science_100_0.3,0.31163,0.54963,0.45660,0.00136,0.06267,0.03406,0.31244,0.00831,0.01102,0.28542,0.27064,0.38599,0.55967,0.28280,0.29852
linear_weighted-llama_2_7b-tulu_all_0.7-science_200_0.3,0.28721,0.55977,0.45404,0.00000,0.05965,0.03297,0.33152,0.01264,0.01385,0.26784,0.29327,0.39408,0.57471,0.28545,0.29024
linear_weighted-llama_2_7b-tulu_all_0.7-science_2500_0.3,0.35217,0.57153,0.43747,0.00145,0.05656,0.03771,0.36401,0.00994,0.01025,0.28726,0.30688,0.41096,0.61818,0.30143,0.32953
linear_weighted-llama_2_7b-tulu_all_0.7-science_500_0.3,0.36093,0.59135,0.44929,0.00000,0.06052,0.04467,0.32681,0.01124,0.01267,0.29136,0.29736,0.40966,0.60241,0.30040,0.31209
linear_weighted-llama_2_7b-tulu_all_0.8-science_1000_0.2,0.36923,0.53649,0.43895,0.00000,0.05579,0.02650,0.32568,0.00800,0.00816,0.28366,0.28436,0.42175,0.57642,0.28867,0.30502
linear_weighted-llama_2_7b-tulu_all_0.8-science_100_0.2,0.36036,0.49790,0.43060,0.00138,0.05093,0.02065,0.31488,0.00740,0.01181,0.25586,0.26872,0.38531,0.55752,0.27560,0.29180
linear_weighted-llama_2_7b-tulu_all_0.8-science_200_0.2,0.29703,0.53258,0.43452,0.00000,0.05714,0.03077,0.32195,0.00754,0.01030,0.25727,0.26988,0.39963,0.58436,0.27726,0.28345
