model_key,base_model,tulu_model,tulu_model_weight,science_model,science_model_weight,merge_method,bbh_cot,bbh_direct,codex_eval_temp_0.1,codex_eval_temp_0.8,gsm_cot,gsm_direct,mmlu_0shot,mmlu_5shot,toxigen,truthfulqa,tydiqa_goldp_1shot,tydiqa_no_context_1shot,alpaca_farm,bioasq,biored,discomat,evidence_inference,multicite,mup,qasper,scierc,scifact,mean,median,invert_toxigen,Tulu Average (Other Evals),Tulu Average (Tulu Subset),Science Average,Combo,Order
tulu_2_7b_continued_ft-tulu_none-science_500,tulu_2_7b_continued_ft,tulu_none,0.0,science_500,1.0,N/A,0.4083333333333333,0.38333333333333325,0.1603658536585366,0.2639928786761076,0.265,0.06,0.46546076057541663,0.4830508474576271,0.9101428571428571,0.4369645042839657,0.5558122622478165,0.14251756728979795,0.1259351620947631,0.37911,0.52974,0.55947,0.0,0.48537,0.14429,0.0,0.37002,0.60377,0.31864,0.37911,0.08985714285714286,0.285386408199487,0.32641950550856824,0.31864,Tulu 2 7B -> Tulu None & Science 500,0.0
llama_2_7b-tulu_all-science_none-seed_52830,llama_2_7b,tulu_all,1.0,science_none,0.0,N/A,0.46018518518518514,0.3888888888888889,0.22652439024390247,0.3773078230008306,0.3,0.055,0.4995014955134596,0.5132459763566444,0.8245714285714286,0.4944920440636475,0.5206264380732861,0.14455902458326947,0.3420398009950249,0.30488,0.15135,0.35319,0.0,0.33588,0.25419,0.0,0.21269,0.48205,0.21666,0.25419,0.17542857142857138,0.30691070940489157,0.39619766978250065,0.21666,Llama 2 7B -> Tulu All Seed 52830 & Science None,1.0
tulu_2_7b_continued_ft-tulu_match-science_2500,tulu_2_7b_continued_ft,tulu_match,1.0,science_2500,1.0,N/A,0.4314814814814814,0.39351851851851855,0.18628048780487805,0.3393004101916357,0.335,0.07,0.49494374020794757,0.5042728955989175,0.8565714285714285,0.5299877600979193,0.49881227790610466,0.12270004973760401,0.4502487562189054,0.32168,0.53411,0.50796,0.04007,0.50357,0.2118,0.0,0.29254,0.68966,0.32107,0.32168,0.14342857142857146,0.29684080787647266,0.4029003746915707,0.32107,Tulu 2 7B -> Tulu Match & Science 2500,1.0
tulu_2_7b_continued_ft-tulu_match-science_100,tulu_2_7b_continued_ft,tulu_match,1.0,science_100,1.0,N/A,0.43703703703703706,0.3796296296296297,0.19756097560975608,0.3789773948395484,0.295,0.065,0.49821962683378435,0.5065517732516736,0.8362857142857143,0.5361077111383109,0.5224413132488177,0.125844125232071,0.48692403486924035,0.2807,0.45838,0.51598,0.0056,0.31318,0.12502,0.0,0.30989,0.5782,0.2626,0.3073,0.1637142857142857,0.2968563794958006,0.41480267546012806,0.2626,Tulu 2 7B -> Tulu Match & Science 100,1.0
llama_2_7b-tulu_match-science_200,llama_2_7b,tulu_match,1.0,science_200,1.0,N/A,0.43425925925925923,0.33425925925925926,0.17865853658536585,0.3086797009529774,0.205,0.07,0.45919384703033755,0.4619000142429853,0.7772857142857142,0.46511627906976744,0.5279892047878254,0.15250506904091904,0.36770186335403726,0.28506,0.53034,0.5254,0.02738,0.325,0.22308,0.0,0.35748,0.54804,0.29324,0.325,0.22271428571428575,0.27653714889525244,0.3738318050210613,0.29324,Llama 2 7B -> Tulu Match & Science 200,1.0
tulu_2_7b_continued_ft-tulu_match-science_200,tulu_2_7b_continued_ft,tulu_match,1.0,science_200,1.0,N/A,0.4194444444444445,0.38888888888888895,0.19725609756097562,0.36030824306705905,0.275,0.075,0.49601196410767695,0.5051986896453496,0.843,0.5238678090575275,0.5331963724847519,0.13388389100662246,0.4689054726368159,0.3223,0.46436,0.51687,0.02208,0.32485,0.05883,0.0,0.32258,0.59414,0.26822,0.32258,0.15700000000000003,0.3009043761245311,0.40421678822478446,0.26822,Tulu 2 7B -> Tulu Match & Science 200,1.0
llama_2_7b-tulu_match-science_100,llama_2_7b,tulu_match,1.0,science_100,1.0,N/A,0.412962962962963,0.3185185185185184,0.15213414634146344,0.29229150748066396,0.18,0.05,0.45221478421877226,0.46382281726249824,0.7697142857142857,0.4614443084455324,0.5214758907911129,0.14716551970189654,0.3652173913043478,0.29048,0.43238,0.50054,0.02104,0.32883,0.19297,0.0,0.33746,0.56067,0.27669,0.32,0.23028571428571432,0.26591063651447916,0.3644865699361383,0.27669,Llama 2 7B -> Tulu Match & Science 100,1.0
llama_2_70b-tulu_all-science_none,llama_2_70b,tulu_all,1.0,science_none,0.0,N/A,0.6879629629629629,0.5898148148148148,0.37652439024390244,0.6759753734523424,0.685,0.175,0.669064235863837,0.6869391824526421,0.8711428571428571,0.5642594859241126,0.6584752032272472,0.2520803793775578,0.46335403726708074,0.36885,0.50361,0.63239,0.03466,0.48404,0.29112,0.0,0.32506,0.76018,0.35559,0.36885,0.1288571428571429,0.4612163248902598,0.5666185551943407,0.35559,Llama 2 70B -> Tulu All & Science None,1.0
tulu_2_70b_continued_ft-tulu_match-science_1000,tulu_2_70b_continued_ft,tulu_match,1.0,science_1000,1.0,N/A,0.639814814814815,0.5824074074074075,0.35884146341463413,0.6026583050340885,0.69,0.16,0.6613730237857856,0.6804586241276172,0.8535714285714285,0.5899632802937577,0.6379312564036204,0.23380521632243675,0.49564134495641343,0.35968,0.69062,0.70573,0.04696,0.62883,0.14743,0.0,0.3588,0.70698,0.38172,0.35968,0.14642857142857146,0.4493285558999521,0.5579763245896315,0.38172,Tulu 2 70B -> Tulu Match & Science 1000,1.0
llama_2_7b-tulu_match-science_2500,llama_2_7b,tulu_match,1.0,science_2500,1.0,N/A,0.4342592592592594,0.35370370370370374,0.19664634146341464,0.32312353696292384,0.32,0.05,0.48290841760432984,0.4891753311494089,0.7851428571428571,0.46878824969400246,0.5081507485880739,0.1467669102204843,0.3569651741293532,0.30913,0.57305,0.53575,0.03629,0.24081,0.26867,0.00711,0.34137,0.58163,0.29918,0.30913,0.21485714285714286,0.2875779362810701,0.3886315661368857,0.29918,Llama 2 7B -> Tulu Match & Science 2500,1.0
llama_2_7b-tulu_match-science_1000,llama_2_7b,tulu_match,1.0,science_1000,1.0,N/A,0.42777777777777776,0.3592592592592592,0.1576219512195122,0.2995849106719001,0.21,0.06,0.47414898162654895,0.48454636091724823,0.796,0.4528763769889841,0.5081121521457842,0.13511764166363682,0.3440993788819876,0.31944,0.56112,0.52906,0.0,0.48209,0.25606,0.0,0.35741,0.54255,0.31328,0.35741,0.20399999999999996,0.2801819289961508,0.3650749472616228,0.31328,Llama 2 7B -> Tulu Match & Science 1000,1.0
llama_2_7b-tulu_all-science_upsample,llama_2_7b,tulu_all,1.0,science_upsample,1.0,N/A,0.42129629629629634,0.3851851851851852,0.20762195121951219,0.3886773999616634,0.33,0.065,0.49309215211508334,0.5057684090585387,0.8058571428571428,0.4883720930232558,0.4972403368723511,0.140383549025103,0.3142857142857143,0.37262,0.53197,0.5237,0.00258,0.47118,0.24619,0.0,0.276,0.62673,0.31507,0.37262,0.19414285714285717,0.30162125059114625,0.3908883562121527,0.31507,Llama 2 7B -> Tulu All & Science Upsample,1.0
llama_2_7b-tulu_all-science_100,llama_2_7b,tulu_all,1.0,science_100,1.0,N/A,0.4435185185185185,0.3861111111111111,0.23018292682926833,0.4094212392983442,0.35,0.05,0.4997863552200541,0.5143142002563738,0.8204285714285714,0.5030599755201959,0.509802424842933,0.1409656882929892,0.38432835820895517,0.32104,0.48772,0.47907,0.00503,0.32073,0.216,0.0,0.28208,0.5678,0.27363,0.32073,0.1795714285714286,0.305981354457686,0.4099360375225537,0.27363,Llama 2 7B -> Tulu All & Science 100,1.0
tulu_2_7b_continued_ft-tulu_match-science_1000,tulu_2_7b_continued_ft,tulu_match,1.0,science_1000,1.0,N/A,0.42777777777777776,0.40370370370370373,0.20121951219512196,0.332693509013074,0.295,0.07,0.49764990742059534,0.5050562597920524,0.8602857142857143,0.5336597307221542,0.5204818604301621,0.12000930108009782,0.4501246882793018,0.35426,0.55788,0.50986,0.0,0.34573,0.10997,0.0008,0.35569,0.61386,0.29787,0.35426,0.13971428571428568,0.3008408394271714,0.3996377199196688,0.29787,Tulu 2 7B -> Tulu Match & Science 1000,1.0
llama_2_7b-tulu_match-science_500,llama_2_7b,tulu_match,1.0,science_500,1.0,N/A,0.4333333333333335,0.363888888888889,0.1850609756097561,0.2849923617121382,0.185,0.065,0.4638940321891468,0.47728243839908846,0.7771428571428571,0.4663402692778458,0.4979460974665855,0.14701063328507666,0.3212951432129515,0.30979,0.52851,0.5587,0.00829,0.45837,0.24254,0.04894,0.36198,0.64844,0.329,0.36198,0.22285714285714286,0.2859208957636498,0.35945729750614297,0.329,Llama 2 7B -> Tulu Match & Science 500,1.0
tulu_2_7b_continued_ft-tulu_none-science_2500,tulu_2_7b_continued_ft,tulu_none,0.0,science_2500,1.0,N/A,0.3888888888888889,0.36666666666666664,0.1548780487804878,0.2705318260234065,0.27,0.07,0.47393533684660305,0.4837629967241134,0.8794285714285714,0.4259485924112607,0.5352030768350344,0.1401697508052256,0.13325031133250312,0.22888,0.54268,0.52086,0.00451,0.55556,0.208,0.10029,0.32293,0.62,0.32484,0.32293,0.12057142857142855,0.2832067432834345,0.32729118261364065,0.32484,Tulu 2 7B -> Tulu None & Science 2500,0.0
llama_2_7b-tulu_all-science_2500,llama_2_7b,tulu_all,1.0,science_2500,1.0,N/A,0.44907407407407407,0.40185185185185185,0.20091463414634148,0.3370005409903847,0.32,0.08,0.5026349522859992,0.5143142002563738,0.7978571428571428,0.4920440636474908,0.5210216228153487,0.13740253519496146,0.37733499377334995,0.37241,0.56053,0.49186,0.03693,0.47456,0.16676,0.0,0.34936,0.60287,0.31483,0.37241,0.20214285714285718,0.3081329036176504,0.40015663809118807,0.31483,Llama 2 7B -> Tulu All & Science 2500,1.0
