task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,qasper,scierc,scifact,scifact,scifact,mean,median
dare_linear-llama_2_7b-tulu_all_0.2-science_2500_0.8_4096,0.42593,0.61575,0.55488,0.00435,0.04135,0.01959,0.53715,0.27529,0.17029,0.34394,0.34670,0.43767,0.52362,0.70852,0.40522,0.42593
dare_linear-llama_2_7b-tulu_all_0.2-science_500_0.8_4096,0.45525,0.60687,0.59005,0.00212,0.03818,0.03818,0.46226,0.29542,0.17799,0.32503,0.35853,0.43668,0.51578,0.66403,0.40093,0.43668
dare_linear-llama_2_7b-tulu_all_0.2-science_upsample_0.8_4096,0.43058,0.60996,0.56137,0.00000,0.02179,0.03268,0.43216,0.30337,0.14680,0.39511,0.31715,0.38006,0.45346,0.66337,0.38743,0.39511
dare_linear-llama_2_7b-tulu_all_0.3-science_1000_0.7_4096,0.46377,0.68182,0.60868,0.00218,0.02620,0.03493,0.51288,0.30995,0.11890,0.18700,0.34737,0.47768,0.52608,0.70866,0.40390,0.46377
dare_linear-llama_2_7b-tulu_all_0.3-science_100_0.7_4096,0.43621,0.57479,0.57306,0.00000,0.04186,0.03256,0.32820,0.19346,0.11431,0.09687,0.29581,0.32099,0.38612,0.54945,0.32046,0.32099
dare_linear-llama_2_7b-tulu_all_0.3-science_200_0.7_4096,0.37887,0.58721,0.64724,0.00000,0.00289,0.00289,0.47264,0.21930,0.19939,0.12046,0.33229,0.32413,0.40450,0.55290,0.34885,0.33229
dare_linear-llama_2_7b-tulu_all_0.3-science_2500_0.7_4096,0.41196,0.62108,0.53516,0.00423,0.03171,0.03594,0.52147,0.28349,0.16855,0.26660,0.33370,0.45143,0.52233,0.68807,0.39211,0.41196
dare_linear-llama_2_7b-tulu_all_0.3-science_500_0.7_4096,0.45242,0.62713,0.59278,0.00206,0.04330,0.03918,0.43032,0.29981,0.17606,0.18823,0.35259,0.43516,0.51492,0.65385,0.38651,0.43032
dare_linear-llama_2_7b-tulu_all_0.3-science_upsample_0.7_4096,0.45425,0.62982,0.56197,0.00000,0.02128,0.03288,0.40937,0.29684,0.10833,0.27167,0.30383,0.38272,0.45370,0.64706,0.37156,0.38272
dare_linear-llama_2_7b-tulu_all_0.4-science_1000_0.6_4096,0.44362,0.66088,0.59620,0.00204,0.02658,0.03272,0.48542,0.30025,0.11872,0.10538,0.33333,0.46847,0.51567,0.72157,0.38731,0.44362
dare_linear-llama_2_7b-tulu_all_0.4-science_100_0.6_4096,0.41754,0.58320,0.55404,0.00000,0.05393,0.03895,0.33060,0.20610,0.12155,0.09621,0.28976,0.30651,0.38419,0.55762,0.31973,0.30651
dare_linear-llama_2_7b-tulu_all_0.4-science_200_0.6_4096,0.40074,0.60543,0.63560,0.00000,0.04103,0.02667,0.44225,0.22125,0.18477,0.10076,0.30688,0.31890,0.40603,0.56164,0.34720,0.31890
dare_linear-llama_2_7b-tulu_all_0.4-science_2500_0.6_4096,0.42043,0.63178,0.50976,0.00399,0.03792,0.03593,0.49982,0.30010,0.14197,0.11324,0.30855,0.42623,0.49604,0.66964,0.36904,0.42043
dare_linear-llama_2_7b-tulu_all_0.4-science_500_0.6_4096,0.44359,0.62528,0.55763,0.00183,0.04945,0.03663,0.39326,0.29551,0.15765,0.10701,0.34809,0.41364,0.47910,0.63878,0.36636,0.39326
dare_linear-llama_2_7b-tulu_all_0.4-science_upsample_0.6_4096,0.47059,0.64990,0.56494,0.00000,0.04448,0.03764,0.42865,0.28704,0.09097,0.18763,0.31412,0.34650,0.42374,0.63212,0.36518,0.34650
dare_linear-llama_2_7b-tulu_all_0.5-science_1000_0.5_4096,0.43850,0.64262,0.58987,0.00166,0.06146,0.04319,0.42487,0.27857,0.13808,0.09200,0.31853,0.43400,0.50057,0.67704,0.37232,0.42487
dare_linear-llama_2_7b-tulu_all_0.5-science_100_0.5_4096,0.42339,0.58844,0.55234,0.00145,0.06512,0.04197,0.31506,0.22094,0.13069,0.10328,0.30205,0.30888,0.40513,0.55797,0.32438,0.30888
dare_linear-llama_2_7b-tulu_all_0.5-science_200_0.5_4096,0.40142,0.62158,0.59982,0.00000,0.06607,0.04464,0.42351,0.24267,0.17038,0.09641,0.31317,0.29935,0.39025,0.56140,0.34507,0.31317
dare_linear-llama_2_7b-tulu_all_0.5-science_2500_0.5_4096,0.41210,0.60956,0.49870,0.00358,0.06082,0.04651,0.45549,0.29891,0.13553,0.12757,0.28350,0.37989,0.46622,0.68493,0.35882,0.37989
dare_linear-llama_2_7b-tulu_all_0.5-science_500_0.5_4096,0.43975,0.64925,0.54282,0.00167,0.05356,0.03515,0.36817,0.28872,0.15460,0.10381,0.30736,0.39171,0.45036,0.65134,0.35919,0.36817
dare_linear-llama_2_7b-tulu_all_0.5-science_upsample_0.5_4096,0.49351,0.63838,0.54489,0.00000,0.04829,0.03497,0.38073,0.28917,0.07489,0.14057,0.29827,0.33714,0.43294,0.64975,0.35414,0.33714
dare_linear-llama_2_7b-tulu_all_0.6-science_1000_0.4_4096,0.43860,0.61444,0.58237,0.00314,0.06745,0.04549,0.36316,0.24254,0.08614,0.09916,0.30786,0.41014,0.46911,0.60938,0.34738,0.36316
dare_linear-llama_2_7b-tulu_all_0.6-science_100_0.4_4096,0.37333,0.57372,0.53130,0.00000,0.07615,0.04741,0.31316,0.26306,0.09035,0.08025,0.26276,0.28747,0.40123,0.56274,0.31039,0.28747
dare_linear-llama_2_7b-tulu_all_0.6-science_200_0.4_4096,0.43393,0.58625,0.55091,0.00000,0.05643,0.04149,0.37796,0.25759,0.12107,0.08568,0.30152,0.29885,0.40790,0.57246,0.33115,0.30152
dare_linear-llama_2_7b-tulu_all_0.6-science_2500_0.4_4096,0.45081,0.60302,0.38903,0.00168,0.05695,0.04858,0.38996,0.30208,0.09227,0.08602,0.29890,0.36923,0.46675,0.68122,0.33814,0.36923
dare_linear-llama_2_7b-tulu_all_0.6-science_500_0.4_4096,0.45614,0.62139,0.54991,0.00153,0.05982,0.03681,0.33757,0.28226,0.10936,0.10338,0.29715,0.37333,0.45822,0.66412,0.35040,0.33757
dare_linear-llama_2_7b-tulu_all_0.6-science_upsample_0.4_4096,0.48699,0.62185,0.52511,0.00000,0.05339,0.03175,0.36271,0.30283,0.04695,0.07403,0.31579,0.35088,0.45443,0.60606,0.34060,0.35088
dare_linear-llama_2_7b-tulu_all_0.7-science_1000_0.3_4096,0.42023,0.57185,0.53827,0.00284,0.06955,0.04400,0.34836,0.28277,0.05088,0.08189,0.28355,0.32911,0.43206,0.57511,0.32287,0.32911
dare_linear-llama_2_7b-tulu_all_0.7-science_100_0.3_4096,0.42500,0.56591,0.52813,0.00137,0.07005,0.03709,0.31274,0.28197,0.05759,0.07348,0.26851,0.29545,0.40743,0.55556,0.31222,0.29545
dare_linear-llama_2_7b-tulu_all_0.7-science_200_0.3_4096,0.42827,0.59018,0.52219,0.00155,0.05577,0.03253,0.34810,0.30510,0.04881,0.08697,0.26039,0.29817,0.40391,0.58303,0.32064,0.30510
dare_linear-llama_2_7b-tulu_all_0.7-science_2500_0.3_4096,0.47228,0.57349,0.52418,0.00000,0.06657,0.03846,0.37713,0.31188,0.04456,0.07449,0.30075,0.34673,0.46453,0.61345,0.33686,0.34673
dare_linear-llama_2_7b-tulu_all_0.7-science_500_0.3_4096,0.44906,0.58019,0.54117,0.00145,0.06672,0.04206,0.32423,0.31835,0.04585,0.09612,0.28931,0.31193,0.43569,0.59922,0.32929,0.31835
dare_linear-llama_2_7b-tulu_all_0.7-science_upsample_0.3_4096,0.46014,0.57508,0.52866,0.00000,0.04632,0.03368,0.35442,0.29062,0.04414,0.08204,0.29047,0.27988,0.39479,0.60000,0.32289,0.29062
dare_linear-llama_2_7b-tulu_all_0.8-science_1000_0.2_4096,0.46667,0.51852,0.55555,0.00000,0.06662,0.04719,0.33108,0.26870,0.04331,0.05605,0.29424,0.26601,0.39169,0.57143,0.31256,0.29424
dare_linear-llama_2_7b-tulu_all_0.8-science_100_0.2_4096,0.43902,0.48614,0.50720,0.00000,0.05413,0.01852,0.31339,0.26040,0.03259,0.04259,0.27290,0.27460,0.37918,0.55455,0.29432,0.27460
dare_linear-llama_2_7b-tulu_all_0.8-science_200_0.2_4096,0.38623,0.50267,0.53591,0.00000,0.06005,0.03849,0.31210,0.28944,0.04925,0.06254,0.25779,0.27103,0.40881,0.57371,0.30006,0.28944
dare_linear-llama_2_7b-tulu_all_0.8-science_2500_0.2_4096,0.47490,0.48339,0.52078,0.00148,0.05174,0.02809,0.33183,0.28718,0.03473,0.05009,0.27670,0.28788,0.42485,0.59821,0.30886,0.28788
dare_linear-llama_2_7b-tulu_all_0.8-science_500_0.2_4096,0.47173,0.51208,0.54147,0.00000,0.06593,0.02747,0.31875,0.26877,0.04291,0.07122,0.27821,0.30112,0.42483,0.60800,0.31638,0.30112
dare_linear-llama_2_7b-tulu_all_0.8-science_upsample_0.2_4096,0.45149,0.51195,0.51515,0.00144,0.04621,0.03755,0.35225,0.29402,0.04204,0.06239,0.27178,0.32405,0.45083,0.60829,0.31633,0.32405
dare_linear-llama_2_7b-tulu_all_0.9-science_1000_0.1_4096,0.41591,0.42042,0.52767,0.00000,0.05424,0.01750,0.31991,0.27575,0.03702,0.04328,0.26365,0.29691,0.42206,0.56502,0.29271,0.29691
dare_linear-llama_2_7b-tulu_all_0.9-science_100_0.1_4096,0.40411,0.36924,0.51271,0.00000,0.03397,0.00599,0.32357,0.28259,0.02691,0.03085,0.21507,0.29354,0.38842,0.54545,0.27618,0.29354
dare_linear-llama_2_7b-tulu_all_0.9-science_200_0.1_4096,0.41075,0.44937,0.51211,0.00000,0.04348,0.01171,0.31801,0.28321,0.03291,0.03072,0.22558,0.26047,0.38033,0.54206,0.28261,0.28321
dare_linear-llama_2_7b-tulu_all_0.9-science_2500_0.1_4096,0.46382,0.39766,0.51553,0.00000,0.05575,0.02287,0.37707,0.26676,0.03079,0.04311,0.20597,0.28054,0.40124,0.54455,0.28923,0.28054
dare_linear-llama_2_7b-tulu_all_0.9-science_500_0.1_4096,0.45304,0.42987,0.51386,0.00000,0.05233,0.01744,0.31636,0.28754,0.03128,0.03440,0.24429,0.28694,0.39670,0.53333,0.28939,0.28754
dare_linear-llama_2_7b-tulu_all_0.9-science_upsample_0.1_4096,0.42623,0.59976,0.58936,0.00455,0.02958,0.01820,0.47789,0.30678,0.17485,0.39145,0.38914,0.39834,0.47933,0.63291,0.40148,0.39834
dare_ties-llama_2_7b-tulu_all_0.1-science_1000_0.9_4096,0.42829,0.64474,0.61866,0.00268,0.01606,0.01606,0.54481,0.30107,0.11123,0.27743,0.36327,0.44286,0.51807,0.63717,0.39869,0.42829
dare_ties-llama_2_7b-tulu_all_0.1-science_100_0.9_4096,0.41176,0.53699,0.58715,0.00000,0.02718,0.01359,0.37376,0.18105,0.07502,0.06495,0.28862,0.24000,0.30060,0.48168,0.29710,0.28862
dare_ties-llama_2_7b-tulu_all_0.1-science_200_0.9_4096,0.43094,0.56256,0.65077,0.00000,0.00581,0.00291,0.48817,0.20489,0.17674,0.08020,0.36827,0.34451,0.42231,0.56376,0.35242,0.36827
dare_ties-llama_2_7b-tulu_all_0.1-science_2500_0.9_4096,0.45736,0.55193,0.56240,0.00477,0.01907,0.01430,0.54723,0.27281,0.15940,0.31835,0.32314,0.44134,0.51628,0.67299,0.39328,0.44134
dare_ties-llama_2_7b-tulu_all_0.1-science_500_0.9_4096,0.42491,0.60420,0.58208,0.00228,0.02055,0.01826,0.48826,0.30498,0.17368,0.38205,0.38532,0.40496,0.48841,0.62762,0.39987,0.40496
dare_ties-llama_2_7b-tulu_all_0.1-science_upsample_0.9_4096,0.41203,0.56823,0.54895,0.00000,0.01441,0.00960,0.44243,0.30793,0.16441,0.40319,0.28810,0.41808,0.50197,0.64762,0.38321,0.41203
dare_ties-llama_2_7b-tulu_all_0.2-science_1000_0.8_4096,0.44576,0.68222,0.59066,0.00000,0.00267,0.00535,0.54255,0.30422,0.11302,0.23551,0.35010,0.43961,0.51982,0.66957,0.39781,0.43961
dare_ties-llama_2_7b-tulu_all_0.2-science_100_0.8_4096,0.43922,0.58359,0.57066,0.00000,0.04184,0.02008,0.36037,0.18281,0.11160,0.09301,0.28387,0.31919,0.36314,0.57021,0.32331,0.31919
dare_ties-llama_2_7b-tulu_all_0.2-science_200_0.8_4096,0.44356,0.60049,0.64705,0.00000,0.00296,0.00296,0.47807,0.21336,0.17245,0.09660,0.33435,0.35336,0.41951,0.54915,0.35376,0.35336
dare_ties-llama_2_7b-tulu_all_0.2-science_2500_0.8_4096,0.40073,0.59971,0.55742,0.00452,0.02938,0.01356,0.54308,0.28051,0.18189,0.36381,0.33883,0.44818,0.54106,0.70909,0.40478,0.40073
dare_ties-llama_2_7b-tulu_all_0.2-science_500_0.8_4096,0.41502,0.62852,0.58551,0.00221,0.03982,0.03761,0.46338,0.30095,0.18070,0.36636,0.37151,0.43765,0.50762,0.64435,0.40307,0.41502
dare_ties-llama_2_7b-tulu_all_0.2-science_upsample_0.8_4096,0.39349,0.61731,0.55836,0.00000,0.01907,0.02542,0.43094,0.30502,0.14709,0.34662,0.31203,0.37107,0.44385,0.66000,0.37827,0.37107
dare_ties-llama_2_7b-tulu_all_0.3-science_1000_0.7_4096,0.46801,0.68637,0.60137,0.00000,0.00750,0.01750,0.51903,0.30976,0.12049,0.20562,0.33442,0.48724,0.53253,0.71311,0.40481,0.46801
dare_ties-llama_2_7b-tulu_all_0.3-science_100_0.7_4096,0.40455,0.55803,0.55511,0.00000,0.05576,0.02411,0.34338,0.18817,0.11712,0.09211,0.27519,0.32234,0.38469,0.54613,0.31435,0.32234
dare_ties-llama_2_7b-tulu_all_0.3-science_200_0.7_4096,0.41036,0.61164,0.64354,0.00000,0.02344,0.01823,0.46836,0.22175,0.20167,0.10228,0.31733,0.32532,0.40378,0.56655,0.35384,0.32532
dare_ties-llama_2_7b-tulu_all_0.3-science_2500_0.7_4096,0.44981,0.59438,0.54111,0.00444,0.03330,0.03552,0.53134,0.29202,0.16759,0.27834,0.33839,0.43626,0.50858,0.66667,0.39356,0.43626
dare_ties-llama_2_7b-tulu_all_0.3-science_500_0.7_4096,0.43396,0.61807,0.57261,0.00197,0.03937,0.04528,0.41050,0.30068,0.17962,0.14853,0.34836,0.41798,0.50488,0.65098,0.37461,0.41050
dare_ties-llama_2_7b-tulu_all_0.3-science_upsample_0.7_4096,0.44592,0.61640,0.56565,0.00000,0.03282,0.03282,0.42898,0.30347,0.14977,0.34865,0.31729,0.38245,0.45685,0.65657,0.38618,0.38245
dare_ties-llama_2_7b-tulu_all_0.4-science_1000_0.6_4096,0.42751,0.66835,0.59867,0.00180,0.04856,0.04317,0.47055,0.30174,0.13602,0.10164,0.31947,0.44298,0.49735,0.67451,0.38091,0.42751
dare_ties-llama_2_7b-tulu_all_0.4-science_100_0.6_4096,0.40482,0.59321,0.55278,0.00141,0.06906,0.04087,0.32263,0.21023,0.10835,0.08959,0.29274,0.31638,0.40750,0.55556,0.31958,0.31638
dare_ties-llama_2_7b-tulu_all_0.4-science_200_0.6_4096,0.41487,0.62055,0.59742,0.00000,0.05540,0.04247,0.42894,0.23129,0.18062,0.09277,0.30263,0.30290,0.39586,0.55593,0.34394,0.30290
dare_ties-llama_2_7b-tulu_all_0.4-science_2500_0.6_4096,0.39643,0.62244,0.52767,0.00375,0.04494,0.04307,0.50360,0.30063,0.15606,0.11991,0.31229,0.43213,0.51178,0.67273,0.37171,0.39643
dare_ties-llama_2_7b-tulu_all_0.4-science_500_0.6_4096,0.42942,0.62224,0.55506,0.00177,0.04766,0.04060,0.39314,0.28070,0.19134,0.11467,0.32682,0.41492,0.47398,0.64844,0.36586,0.39314
dare_ties-llama_2_7b-tulu_all_0.4-science_upsample_0.6_4096,0.46180,0.65787,0.56331,0.00000,0.03151,0.03892,0.42000,0.29357,0.10095,0.20694,0.31973,0.37423,0.44823,0.66000,0.37181,0.37423
dare_ties-llama_2_7b-tulu_all_0.5-science_1000_0.5_4096,0.46350,0.63892,0.58092,0.00165,0.04785,0.04620,0.40599,0.25486,0.13463,0.10406,0.31557,0.40798,0.48143,0.69565,0.36818,0.40599
dare_ties-llama_2_7b-tulu_all_0.5-science_100_0.5_4096,0.31707,0.60623,0.52005,0.00138,0.07182,0.03867,0.31605,0.22954,0.11115,0.08643,0.27039,0.27975,0.37632,0.55469,0.30574,0.27975
dare_ties-llama_2_7b-tulu_all_0.5-science_200_0.5_4096,0.41257,0.60067,0.58376,0.00000,0.05754,0.04359,0.34617,0.24800,0.15162,0.08568,0.27481,0.29106,0.38824,0.55634,0.32802,0.29106
dare_ties-llama_2_7b-tulu_all_0.5-science_2500_0.5_4096,0.41912,0.61575,0.48270,0.00180,0.05405,0.04144,0.43615,0.29732,0.12423,0.11132,0.30143,0.38760,0.48801,0.70588,0.35778,0.38760
dare_ties-llama_2_7b-tulu_all_0.5-science_500_0.5_4096,0.42447,0.64086,0.54979,0.00000,0.05728,0.02782,0.35086,0.26987,0.14870,0.10198,0.30526,0.37862,0.45653,0.63396,0.35106,0.35086
dare_ties-llama_2_7b-tulu_all_0.5-science_upsample_0.5_4096,0.47788,0.65828,0.55549,0.00000,0.05714,0.04245,0.38444,0.29691,0.07664,0.12316,0.31494,0.35015,0.42773,0.60417,0.35447,0.35015
dare_ties-llama_2_7b-tulu_all_0.6-science_1000_0.4_4096,0.44944,0.59607,0.56383,0.00000,0.06338,0.04930,0.35312,0.27993,0.08370,0.09002,0.30108,0.36166,0.45699,0.61004,0.34112,0.35312
dare_ties-llama_2_7b-tulu_all_0.6-science_100_0.4_4096,0.39224,0.57648,0.55006,0.00138,0.07576,0.03306,0.32545,0.27447,0.06038,0.08069,0.25957,0.27848,0.39200,0.55598,0.31178,0.27848
dare_ties-llama_2_7b-tulu_all_0.6-science_200_0.4_4096,0.38202,0.59697,0.54621,0.00000,0.05521,0.04294,0.34388,0.28357,0.08977,0.07871,0.29185,0.28510,0.39091,0.57664,0.32090,0.29185
dare_ties-llama_2_7b-tulu_all_0.6-science_2500_0.4_4096,0.44576,0.58149,0.36495,0.00323,0.05493,0.04523,0.39102,0.31647,0.05743,0.07717,0.28910,0.34366,0.44681,0.64545,0.32431,0.34366
dare_ties-llama_2_7b-tulu_all_0.6-science_500_0.4_4096,0.44266,0.61018,0.56152,0.00148,0.06199,0.04280,0.32206,0.30785,0.08655,0.08802,0.29356,0.33019,0.42470,0.63710,0.34015,0.32206
dare_ties-llama_2_7b-tulu_all_0.6-science_upsample_0.4_4096,0.48855,0.62658,0.52256,0.00000,0.05900,0.03782,0.37338,0.29994,0.04850,0.08890,0.28014,0.31395,0.42068,0.58883,0.33548,0.31395
dare_ties-llama_2_7b-tulu_all_0.7-science_1000_0.3_4096,0.42436,0.57206,0.55169,0.00000,0.06061,0.04132,0.32212,0.30095,0.04210,0.08142,0.26994,0.33978,0.45676,0.63333,0.32712,0.32212
dare_ties-llama_2_7b-tulu_all_0.7-science_100_0.3_4096,0.46529,0.53581,0.52242,0.00000,0.06343,0.02834,0.31282,0.25010,0.04283,0.05665,0.26430,0.25688,0.38866,0.54310,0.30124,0.26430
dare_ties-llama_2_7b-tulu_all_0.7-science_200_0.3_4096,0.27094,0.56100,0.55199,0.00000,0.06038,0.03682,0.33184,0.32534,0.04385,0.07775,0.24444,0.26667,0.41049,0.57588,0.30092,0.27094
dare_ties-llama_2_7b-tulu_all_0.7-science_2500_0.3_4096,0.45825,0.52564,0.52769,0.00149,0.08767,0.04012,0.37265,0.24459,0.04230,0.07074,0.28815,0.30846,0.43209,0.60444,0.32096,0.30846
dare_ties-llama_2_7b-tulu_all_0.7-science_500_0.3_4096,0.42705,0.56138,0.53122,0.00000,0.08039,0.04231,0.32813,0.29070,0.04430,0.07066,0.27487,0.28000,0.39369,0.54077,0.31177,0.29070
dare_ties-llama_2_7b-tulu_all_0.7-science_upsample_0.3_4096,0.47438,0.55800,0.54890,0.00138,0.07044,0.03729,0.37274,0.28998,0.04495,0.08910,0.28386,0.28814,0.40199,0.53968,0.32365,0.28998
dare_ties-llama_2_7b-tulu_all_0.8-science_1000_0.2_4096,0.44272,0.49231,0.53744,0.00000,0.05734,0.02937,0.32101,0.25956,0.04360,0.05431,0.28428,0.28922,0.42489,0.57399,0.30507,0.28922
dare_ties-llama_2_7b-tulu_all_0.8-science_100_0.2_4096,0.40741,0.41234,0.51476,0.00158,0.04420,0.02052,0.32598,0.24437,0.03659,0.03894,0.25427,0.27985,0.37791,0.58621,0.28590,0.27985
dare_ties-llama_2_7b-tulu_all_0.8-science_200_0.2_4096,0.43444,0.49671,0.53309,0.00000,0.06074,0.02519,0.31346,0.23923,0.03599,0.06047,0.23841,0.25463,0.37128,0.56667,0.29399,0.25463
dare_ties-llama_2_7b-tulu_all_0.8-science_2500_0.2_4096,0.46833,0.46006,0.53963,0.00000,0.06671,0.02413,0.33577,0.25213,0.03717,0.05199,0.28401,0.25543,0.36416,0.52308,0.29767,0.28401
dare_ties-llama_2_7b-tulu_all_0.8-science_500_0.2_4096,0.44275,0.48402,0.51369,0.00000,0.06250,0.02174,0.31456,0.22388,0.04003,0.04968,0.26305,0.29691,0.40942,0.57384,0.29681,0.29691
dare_ties-llama_2_7b-tulu_all_0.8-science_upsample_0.2_4096,0.42936,0.48764,0.52173,0.00000,0.05672,0.03134,0.33408,0.28618,0.03736,0.05875,0.25027,0.29167,0.40651,0.57005,0.30216,0.29167
dare_ties-llama_2_7b-tulu_all_0.9-science_1000_0.1_4096,0.38063,0.38878,0.52758,0.00000,0.05878,0.02939,0.32087,0.26344,0.02712,0.03639,0.23842,0.28632,0.38472,0.51777,0.27692,0.28632
dare_ties-llama_2_7b-tulu_all_0.9-science_100_0.1_4096,0.40223,0.29583,0.52276,0.00000,0.03452,0.00431,0.31827,0.25581,0.02186,0.02578,0.23152,0.25676,0.36391,0.47253,0.25799,0.25676
dare_ties-llama_2_7b-tulu_all_0.9-science_200_0.1_4096,0.41812,0.38376,0.52389,0.00000,0.04775,0.01061,0.38414,0.26007,0.02516,0.02531,0.23553,0.28096,0.39732,0.53744,0.28383,0.28096
dare_ties-llama_2_7b-tulu_all_0.9-science_2500_0.1_4096,0.39446,0.35473,0.50072,0.00000,0.05094,0.00943,0.34831,0.26727,0.02096,0.02703,0.25024,0.27386,0.36876,0.52261,0.27374,0.27386
dare_ties-llama_2_7b-tulu_all_0.9-science_500_0.1_4096,0.41727,0.38335,0.53302,0.00000,0.03560,0.00628,0.32423,0.25140,0.02862,0.02827,0.24219,0.28731,0.40042,0.54867,0.27999,0.28731
dare_ties-llama_2_7b-tulu_all_0.9-science_upsample_0.1_4096,0.43806,0.36742,0.52736,0.00000,0.03833,0.00225,0.33649,0.23964,0.02215,0.03090,0.23172,0.28764,0.38937,0.52041,0.27638,0.28764
linear_weighted-llama_2_7b-tulu_all_0.1-science_1000_0.9_4096,0.41825,0.65908,0.61321,0.00000,0.00796,0.01061,0.54518,0.30086,0.11412,0.26927,0.36570,0.44988,0.51793,0.65179,0.39957,0.41825
linear_weighted-llama_2_7b-tulu_all_0.1-science_100_0.9_4096,0.42857,0.56079,0.57562,0.00000,0.02839,0.01597,0.37168,0.17675,0.09895,0.07495,0.27946,0.25893,0.32415,0.53953,0.30851,0.27946
linear_weighted-llama_2_7b-tulu_all_0.1-science_200_0.9_4096,0.39279,0.55168,0.64875,0.00000,0.00581,0.00581,0.48747,0.20517,0.18358,0.09072,0.34537,0.34921,0.41766,0.55705,0.34705,0.34921
linear_weighted-llama_2_7b-tulu_all_0.1-science_2500_0.9_4096,0.42308,0.58392,0.56545,0.00455,0.02955,0.01591,0.54416,0.27151,0.17299,0.36548,0.32538,0.42659,0.51543,0.68519,0.39939,0.42308
linear_weighted-llama_2_7b-tulu_all_0.1-science_500_0.9_4096,0.46069,0.57426,0.58744,0.00218,0.02835,0.02399,0.47281,0.30203,0.18447,0.39467,0.39777,0.41152,0.48339,0.61925,0.40302,0.41152
linear_weighted-llama_2_7b-tulu_all_0.1-science_upsample_0.9_4096,0.41018,0.60133,0.55652,0.00000,0.01427,0.02140,0.43626,0.30287,0.16494,0.40902,0.29185,0.40237,0.47481,0.65700,0.38606,0.40902
linear_weighted-llama_2_7b-tulu_all_0.1-tulu_2_7b_science_2500_0.9,0.27249,0.56998,0.51626,0.00000,0.00926,0.00926,0.54627,0.29385,0.08904,0.17741,0.32743,0.44571,0.48624,0.66986,0.35614,0.32743
linear_weighted-llama_2_7b-tulu_all_0.2-science_1000_0.8_4096,0.47582,0.66844,0.60159,0.00236,0.01413,0.01649,0.53459,0.30400,0.11763,0.25894,0.34828,0.47418,0.53862,0.68670,0.40766,0.47418
linear_weighted-llama_2_7b-tulu_all_0.2-science_100_0.8_4096,0.44747,0.57423,0.57687,0.00000,0.03667,0.01667,0.35924,0.18196,0.10461,0.09227,0.29060,0.31395,0.36878,0.56225,0.32183,0.31395
linear_weighted-llama_2_7b-tulu_all_0.2-science_200_0.8_4096,0.42344,0.56818,0.64910,0.00000,0.00298,0.00298,0.47960,0.20916,0.19073,0.09654,0.33470,0.35315,0.42012,0.54915,0.35061,0.35315
