task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,qasper,scierc,scifact,scifact,scifact,mean,median
metric,f1,f1,bleu,f1_exact,f1_overlap,f1_substring,f1,rouge1,f1_answer,f1_evidence,f1,f1_evidence_sent,f1_evidence_token,f1_label,null,null
dare_linear-llama_2_7b-tulu_all_0.1-science_1000_0.9_4096,0.42105,0.63835,0.60760,0.00000,0.00788,0.01051,0.54195,0.29263,0.12237,0.27664,0.35839,0.43584,0.50435,0.63677,0.39450,0.42105
dare_linear-llama_2_7b-tulu_all_0.1-science_100_0.9_4096,0.41075,0.54523,0.57895,0.00000,0.02878,0.01619,0.37099,0.17472,0.09794,0.07761,0.28151,0.28571,0.34333,0.53636,0.30805,0.28571
dare_linear-llama_2_7b-tulu_all_0.1-science_200_0.9_4096,0.38772,0.57334,0.65255,0.00000,0.00582,0.00582,0.48709,0.20839,0.17706,0.09434,0.34269,0.33174,0.40881,0.55219,0.34663,0.34269
dare_linear-llama_2_7b-tulu_all_0.1-science_2500_0.9_4096,0.41588,0.58985,0.56739,0.00451,0.02935,0.01580,0.54303,0.27299,0.16415,0.35405,0.32216,0.44205,0.52795,0.69406,0.39954,0.41588
dare_linear-llama_2_7b-tulu_all_0.1-science_500_0.9_4096,0.42857,0.60793,0.59433,0.00221,0.03091,0.03091,0.47362,0.30321,0.17982,0.38153,0.38993,0.40081,0.47183,0.63636,0.40246,0.40081
dare_linear-llama_2_7b-tulu_all_0.1-science_upsample_0.9_4096,0.40854,0.58974,0.57143,0.00000,0.02062,0.01145,0.43650,0.30818,0.17118,0.40330,0.27644,0.41379,0.48584,0.69231,0.39018,0.40854
dare_linear-llama_2_7b-tulu_all_0.2-science_1000_0.8_4096,0.46094,0.65601,0.59914,0.00245,0.02941,0.02696,0.53122,0.29628,0.11967,0.22338,0.34974,0.46544,0.52918,0.67797,0.40084,0.46094
dare_linear-llama_2_7b-tulu_all_0.2-science_100_0.8_4096,0.44732,0.56762,0.57344,0.00000,0.04037,0.01682,0.35831,0.17886,0.10505,0.08814,0.29263,0.31537,0.36619,0.56198,0.32083,0.31537
dare_linear-llama_2_7b-tulu_all_0.2-science_200_0.8_4096,0.39842,0.57344,0.64778,0.00000,0.00296,0.00296,0.47713,0.20607,0.19256,0.09654,0.33774,0.34483,0.41363,0.54730,0.34771,0.34483
