task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,scierc,scifact,scifact,scifact,mean,median
metric,f1,f1,bleu,f1_exact,f1_overlap,f1_substring,f1,bleu,bleu,f1,f1_evidence_sent,f1_evidence_token,f1_label,null,null
ties-llama_2_7b-tulu_all_0.0-science_upsample_1.0,0.39045,0.56262,0.54670,0.00000,0.00508,0.00508,0.44082,0.30230,0.18286,0.41751,0.27725,0.41279,0.48536,0.67308,0.38286,0.41279
dare_linear-llama_2_7b-tulu_all_1.0-science_100_0.0,0.41802,0.15129,0.47823,0.00000,0.02931,0.00000,0.33588,0.28403,0.02761,0.03022,0.21218,0.25963,0.35364,0.49485,0.24739,0.25963
dare_linear-llama_2_7b-tulu_all_1.0-science_200_0.0,0.41802,0.15129,0.47823,0.00000,0.02931,0.00000,0.33588,0.28403,0.02761,0.03022,0.21218,0.25963,0.35364,0.49485,0.24739,0.25963
dare_linear-llama_2_7b-tulu_all_1.0-science_500_0.0,0.41802,0.15129,0.47823,0.00000,0.02931,0.00000,0.33588,0.28403,0.02761,0.03022,0.21218,0.25963,0.35364,0.49485,0.24739,0.25963
dare_linear-llama_2_7b-tulu_all_1.0-science_1000_0.0,0.41802,0.15129,0.47823,0.00000,0.02931,0.00000,0.33588,0.28403,0.02761,0.03022,0.21218,0.25963,0.35364,0.49485,0.24739,0.25963
dare_linear-llama_2_7b-tulu_all_1.0-science_2500_0.0,0.41802,0.15129,0.47823,0.00000,0.02931,0.00000,0.33588,0.28403,0.02761,0.03022,0.21218,0.25963,0.35364,0.49485,0.24739,0.25963
dare_linear-llama_2_7b-tulu_all_1.0-science_upsample_0.0,0.41802,0.15129,0.47823,0.00000,0.02931,0.00000,0.33588,0.28403,0.02761,0.03022,0.21218,0.25963,0.35364,0.49485,0.24739,0.25963
dare_linear-llama_2_7b-tulu_all_0.0-science_100_1.0,0.42435,0.50328,0.57097,0.00000,0.01852,0.00926,0.37213,0.16696,0.05818,0.05847,0.28571,0.19048,0.25387,0.38323,0.27566,0.28571
dare_linear-llama_2_7b-tulu_all_0.0-science_200_1.0,0.38155,0.53056,0.65447,0.00000,0.00581,0.00291,0.48977,0.19399,0.16209,0.08065,0.34275,0.33474,0.40228,0.56000,0.33967,0.34275
dare_linear-llama_2_7b-tulu_all_0.0-science_500_1.0,0.44207,0.59266,0.57151,0.00470,0.02115,0.01880,0.47788,0.30262,0.16150,0.37619,0.37767,0.39759,0.46107,0.60426,0.39319,0.39759
