model_key,base_model,tulu_model,tulu_model_weight,safety_model,safety_model_weight,merge_method,harmbench,safe_average,unsafe_average
linear_weighted-llama_2_7b-tulu_all_0.5-safety_60_0.5,llama_2_7b,tulu_all,0.5,safety_60,0.5,linear_weighted,0.75,41.99999832000007,0.9999999600000016
linear_weighted-llama_2_7b-tulu_all_0.6-safety_60_0.4,llama_2_7b,tulu_all,0.6,safety_60,0.4,linear_weighted,2.75,53.599997856000094,0.4999999800000008
linear_weighted-llama_2_7b-tulu_all_0.7-safety_60_0.3,llama_2_7b,tulu_all,0.7,safety_60,0.3,linear_weighted,9.75,76.39999694400012,1.9999999200000032
linear_weighted-llama_2_7b-tulu_all_0.8-safety_60_0.2,llama_2_7b,tulu_all,0.8,safety_60,0.2,linear_weighted,24.5,87.99999648000012,3.4999998600000053
linear_weighted-llama_2_7b-tulu_all_0.9-safety_60_0.1,llama_2_7b,tulu_all,0.9,safety_60,0.1,linear_weighted,42.5,97.59999609600017,13.999999440000021
linear_weighted-llama_2_7b-tulu_all_0.1-safety_100_0.9,llama_2_7b,tulu_all,0.1,safety_100,0.9,linear_weighted,0.0,11.199999552000017,0.0
linear_weighted-llama_2_7b-tulu_all_0.2-safety_100_0.8,llama_2_7b,tulu_all,0.2,safety_100,0.8,linear_weighted,0.0,16.399999344000022,0.0
linear_weighted-llama_2_7b-tulu_all_0.3-safety_100_0.7,llama_2_7b,tulu_all,0.3,safety_100,0.7,linear_weighted,0.0,23.199999072000033,0.4999999800000008
linear_weighted-llama_2_7b-tulu_all_0.4-safety_100_0.6,llama_2_7b,tulu_all,0.4,safety_100,0.6,linear_weighted,0.0,31.599998736000046,0.0
linear_weighted-llama_2_7b-tulu_all_0.5-safety_100_0.5,llama_2_7b,tulu_all,0.5,safety_100,0.5,linear_weighted,0.5,41.19999835200006,0.4999999800000008
linear_weighted-llama_2_7b-tulu_all_0.6-safety_100_0.4,llama_2_7b,tulu_all,0.6,safety_100,0.4,linear_weighted,2.75,53.99999784000009,0.9999999600000016
linear_weighted-llama_2_7b-tulu_all_0.7-safety_100_0.3,llama_2_7b,tulu_all,0.7,safety_100,0.3,linear_weighted,9.75,72.39999710400011,1.9999999200000032
linear_weighted-llama_2_7b-tulu_all_0.8-safety_100_0.2,llama_2_7b,tulu_all,0.8,safety_100,0.2,linear_weighted,25.5,91.19999635200014,4.499999820000007
linear_weighted-llama_2_7b-tulu_all_0.9-safety_100_0.1,llama_2_7b,tulu_all,0.9,safety_100,0.1,linear_weighted,40.75,97.19999611200016,12.499999500000019
llama_2_7b-tulu_upsample-safety_none,llama_2_7b,tulu_upsample,1.0,safety_none,0.0,N/A,58.5,98.79999604800017,33.99999864000005
llama_2_7b-tulu_none-safety_v0_100,llama_2_7b,tulu_none,0.0,safety_v0_100,1.0,N/A,0.0,16.79999932800003,0.4999999800000008
llama_2_7b-tulu_none-safety_10,llama_2_7b,tulu_none,0.0,safety_10,1.0,N/A,0.0,5.199999792000008,0.0
linear_weighted-llama_2_7b-tulu_all_0.9-safety_v0_100_0.1,llama_2_7b,tulu_all,0.9,safety_v0_100,0.1,linear_weighted,43.75,97.59999609600015,17.99999928000003
linear_weighted-llama_2_7b-tulu_all_0.8-safety_v0_100_0.2,llama_2_7b,tulu_all,0.8,safety_v0_100,0.2,linear_weighted,31.75,90.39999638400016,11.499999540000017
linear_weighted-llama_2_7b-tulu_all_0.7-safety_v0_100_0.3,llama_2_7b,tulu_all,0.7,safety_v0_100,0.3,linear_weighted,17.5,82.39999670400012,3.9999998400000063
linear_weighted-llama_2_7b-tulu_all_0.6-safety_v0_100_0.4,llama_2_7b,tulu_all,0.6,safety_v0_100,0.4,linear_weighted,4.25,71.59999713600011,1.9999999200000032
linear_weighted-llama_2_7b-tulu_all_0.5-safety_v0_100_0.5,llama_2_7b,tulu_all,0.5,safety_v0_100,0.5,linear_weighted,0.0,54.39999782400008,0.4999999800000008
linear_weighted-llama_2_7b-tulu_all_0.4-safety_v0_100_0.6,llama_2_7b,tulu_all,0.4,safety_v0_100,0.6,linear_weighted,0.0,34.79999860800006,0.4999999800000008
linear_weighted-llama_2_7b-tulu_all_0.3-safety_v0_100_0.7,llama_2_7b,tulu_all,0.3,safety_v0_100,0.7,linear_weighted,0.0,27.599998896000045,0.0
linear_weighted-llama_2_7b-tulu_all_0.2-safety_v0_100_0.8,llama_2_7b,tulu_all,0.2,safety_v0_100,0.8,linear_weighted,0.0,24.799999008000036,0.0
linear_weighted-llama_2_7b-tulu_all_0.1-safety_v0_100_0.9,llama_2_7b,tulu_all,0.1,safety_v0_100,0.9,linear_weighted,0.0,21.199999152000032,0.4999999800000008
linear_weighted-llama_2_7b-tulu_all_0.9-safety_10_0.1,llama_2_7b,tulu_all,0.9,safety_10,0.1,linear_weighted,42.5,97.19999611200016,14.499999420000023
linear_weighted-llama_2_7b-tulu_all_0.8-safety_10_0.2,llama_2_7b,tulu_all,0.8,safety_10,0.2,linear_weighted,26.5,86.79999652800014,7.999999680000013
linear_weighted-llama_2_7b-tulu_all_0.7-safety_10_0.3,llama_2_7b,tulu_all,0.7,safety_10,0.3,linear_weighted,12.5,73.19999707200012,1.9999999200000032
linear_weighted-llama_2_7b-tulu_all_0.6-safety_10_0.4,llama_2_7b,tulu_all,0.6,safety_10,0.4,linear_weighted,2.5,58.799997648000094,0.9999999600000016
linear_weighted-llama_2_7b-tulu_all_0.5-safety_10_0.5,llama_2_7b,tulu_all,0.5,safety_10,0.5,linear_weighted,0.0,38.79999844800005,0.0
linear_weighted-llama_2_7b-tulu_all_0.4-safety_10_0.6,llama_2_7b,tulu_all,0.4,safety_10,0.6,linear_weighted,0.0,26.79999892800004,0.0
linear_weighted-llama_2_7b-tulu_all_0.3-safety_10_0.7,llama_2_7b,tulu_all,0.3,safety_10,0.7,linear_weighted,0.0,19.599999216000032,0.0
